poor_signal,raw,attention,meditation
25,41,0,0
0,65,0,0
0,91,0,0
0,67,0,0
0,-14,51,30
0,50,34,13
0,102,34,13
0,26,23,37
0,37,21,43
0,80,10,56
0,25,29,70
0,70,40,61
0,66,44,69
0,102,35,47
0,82,44,44
0,3,60,37
0,52,67,23
0,24,67,23
0,6,84,41
0,106,75,54
0,42,57,56
0,66,41,51
0,55,30,75
0,-29,38,80
0,53,35,90
0,25,54,94
0,39,77,78
0,45,78,78
0,58,81,67
0,83,81,67
0,112,70,75
0,80,66,70
0,4,54,80
0,66,67,80
0,28,69,66
0,54,57,67
0,-10,60,48
0,37,41,47
0,-9,41,66
0,81,34,50
0,90,34,50
0,89,43,54
0,80,57,67
0,83,74,48
0,24,83,60
0,22,70,63
0,17,80,51
0,-34,53,66
0,10,60,78
0,71,70,69
0,42,51,75
0,103,51,75
0,35,54,75
0,66,29,69
0,92,1,81
0,41,10,78
0,-22,23,66
0,85,44,75
0,17,70,77
0,35,87,75
0,-2,88,75
0,34,96,63
0,1,100,50
0,36,100,50
0,59,100,48
0,34,100,51
