Attention,Meditation,Low-Alpha,Hight-Alpha,Low-Beta,High Beta,Low-Gamma,Mid-Gamma,Raw-Value,Delta,Theta,Class
97,63,7068,5649,3761,3558,1434,1331,54,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,38,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,43,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,82,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,21,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,11,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,23,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,0,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,51,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,48,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,22,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,32,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,21,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,42,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,113,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,24,49967,4101,1
97,63,7068,5649,3761,3558,1434,1331,22,49967,4101,1
100,74,24404,14529,11034,4397,8377,2067,43,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,29,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,72,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,77,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,3,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,59,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,85,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,84,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,82,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,55,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,29,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,121,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,148,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,86,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,173,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,440,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,-116,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,-238,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,-243,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,-134,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,42,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,57,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,52,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,57,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,92,11909,18930,1
100,74,24404,14529,11034,4397,8377,2067,74,11909,18930,1
80,63,40580,29008,12772,6781,3604,3193,103,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,55,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,52,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,87,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,19,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,7,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,6,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,36,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,25,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,41,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,-105,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,178,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,101,339725,112408,1
80,63,40580,29008,12772,6781,3604,3193,13,339725,112408,1
