poor_signal,raw,attention,meditation
25,55,0,0
25,39,0,0
0,50,0,0
0,40,0,0
0,85,0,0
0,0,0,0
0,44,0,0
0,701,51,48
0,37,51,48
0,40,44,38
0,60,44,38
0,-1,40,51
0,59,40,51
0,-3,44,51
0,38,44,51
0,50,38,34
0,81,38,34
0,98,48,34
0,45,48,34
0,13,70,8
0,103,70,8
0,-24,78,1
0,76,78,1
0,-8,81,1
0,83,81,1
0,144,93,1
0,58,93,1
0,74,54,1
0,75,54,1
0,59,50,1
0,34,50,1
0,50,40,23
0,88,40,23
0,-389,14,29
0,85,14,29
0,85,38,43
0,61,38,43
0,64,43,41
0,40,43,41
0,52,50,38
0,82,50,38
0,135,63,16
0,48,63,16
0,-8,44,7
0,25,44,7
0,22,43,7
0,33,43,7
0,-1,51,1
0,55,51,1
0,21,56,11
0,34,56,11
0,102,77,26
0,49,77,26
0,50,77,26
0,50,77,26
0,84,50,27
0,57,50,27
0,-387,44,21
0,163,44,21
0,1420,43,4
0,-142,43,4
51,48,43,4
51,49,43,4
0,119,30,3
0,12,30,3
0,107,51,1
0,103,51,1
0,116,67,1
0,11,67,1
0,-45,57,1
0,38,57,1
0,21,57,1
0,298,57,1
0,60,57,1
0,192,57,1
0,75,35,1
0,21,35,1
0,-8,50,10
0,102,50,23
0,-67,50,23
0,136,29,13
0,-525,29,13
0,90,30,24
0,148,30,24
0,73,24,26
0,57,24,26
0,42,27,30
0,36,27,30
0,86,48,50
0,69,48,50
0,32,51,47
0,2,51,47
0,-213,43,50
0,96,43,50
0,53,26,38
0,58,26,38
0,33,26,35
0,38,26,35
0,36,37,30
0,82,37,30
0,43,56,26
0,48,56,26
0,73,78,30
0,92,78,30
0,26,69,41
0,44,69,41
0,33,74,50
0,40,74,50
0,75,54,67
0,75,54,67
0,56,61,69
0,70,61,69
0,24,70,61
0,49,70,61
0,-13,67,56
0,69,67,56
0,24,69,40
0,61,69,40
0,59,54,40
