timestamps,TP9,AF7,AF8,TP10,Right AUX
1680450924.062,-32.715,-27.832,-17.578,-20.508,0.000
1680450924.066,-43.457,-28.320,-22.949,-27.344,0.000
1680450924.070,-41.992,-37.598,-34.668,-42.969,0.000
1680450924.074,-32.227,-40.527,-28.809,-43.457,0.000
1680450924.078,-34.180,-47.363,-23.438,-16.113,0.000
1680450924.082,-44.922,-60.547,-24.902,4.395,0.000
1680450924.086,-41.504,-66.406,-18.555,-21.973,0.000
1680450924.089,-22.949,-83.008,-27.344,-42.480,0.000
1680450924.093,-4.883,-88.867,-20.508,-15.625,0.000
1680450924.097,-12.695,-85.449,-5.371,12.695,0.000
1680450924.101,-30.762,-98.145,-10.742,3.906,0.000
1680450924.105,-36.133,-107.910,-26.367,-24.902,0.000
1680450924.109,-47.852,-109.863,-39.062,-42.480,0.000
1680450924.113,-47.852,-106.934,-35.645,-29.785,0.000
1680450924.117,-28.809,-98.633,-23.438,-6.348,0.000
1680450924.121,-23.926,-92.773,-25.391,-0.977,0.000
1680450924.125,-31.250,-104.492,-35.645,-16.602,0.000
1680450924.128,-31.250,-106.445,-37.598,-31.250,0.000
1680450924.132,-35.156,-102.051,-33.203,-21.484,0.000
1680450924.136,-38.086,-112.305,-33.203,-2.441,0.000
1680450924.140,-36.621,-111.816,-23.438,2.930,0.000
1680450924.144,-33.691,-99.121,-19.531,-2.441,0.000
1680450924.148,-28.809,-97.168,-24.902,-20.996,0.000
1680450924.152,-21.484,-93.262,-23.926,-14.648,0.000
1680450924.156,-15.137,-80.078,-12.695,10.254,0.000
1680450924.160,-5.859,-71.777,-2.441,20.996,0.000
1680450924.164,-30.273,-90.820,-22.949,-4.883,0.000
1680450924.168,-34.668,-101.074,-27.832,-28.320,0.000
1680450924.171,-23.926,-91.797,-20.020,-16.602,0.000
1680450924.175,-36.621,-83.496,-26.367,1.465,0.000
1680450924.179,-40.039,-86.426,-19.043,3.906,0.000
1680450924.183,-30.762,-90.332,-10.254,-0.977,0.000
1680450924.187,-22.461,-68.848,-15.625,-12.695,0.000
1680450924.191,-24.902,-49.805,-24.902,-21.484,0.000
1680450924.195,-32.715,-45.410,-25.879,-8.301,0.000
1680450924.199,-31.738,-37.109,-26.367,10.742,0.000
1680450924.203,-21.484,-20.020,-23.926,0.977,0.000
1680450924.207,-29.785,-20.020,-30.273,-30.273,0.000
1680450924.211,-32.715,-18.555,-31.250,-28.320,0.000
1680450924.214,-8.301,2.441,-13.672,2.930,0.000
1680450924.218,-5.371,11.230,-15.137,13.672,0.000
1680450924.222,-29.785,-5.859,-32.227,-9.277,0.000
1680450924.226,-33.691,-21.973,-27.832,-33.691,0.000
1680450924.230,-43.945,-27.832,-26.855,-34.180,0.000
1680450924.234,-36.621,-21.484,-26.855,-9.766,0.000
1680450924.238,-15.625,-14.160,-21.973,7.324,0.000
1680450924.242,-20.020,-10.742,-22.949,0.488,0.000
1680450924.246,-14.160,-0.977,-23.926,-22.461,0.000
1680450924.250,-15.137,-1.953,-32.715,-38.086,0.000
1680450924.254,-16.602,-2.930,-31.250,-30.762,0.000
1680450924.257,-3.418,-4.395,-23.926,-11.719,0.000
1680450924.261,0.977,-6.836,-26.855,-9.277,0.000
1680450924.265,-10.742,-16.113,-31.738,-30.762,0.000
1680450924.269,-15.625,-23.438,-29.785,-40.527,0.000
1680450924.273,-16.113,-27.832,-23.438,-30.762,0.000
1680450924.277,-22.949,-37.109,-22.461,-9.766,0.000
1680450924.281,-33.203,-43.945,-23.438,-13.184,0.000
1680450924.285,-39.551,-41.016,-17.090,-31.250,0.000
1680450924.289,-26.855,-37.109,-17.578,-38.574,0.000
1680450924.293,-6.836,-34.180,-25.391,-16.602,0.000
1680450924.296,-14.648,-32.715,-20.020,0.488,0.000
1680450924.300,-20.996,-32.715,-9.766,0.488,0.000
1680450924.304,-27.832,-28.809,-21.973,-12.207,0.000
1680450924.308,-30.762,-31.250,-29.297,-30.273,0.000
1680450924.312,-15.137,-32.715,-23.438,-29.297,0.000
1680450924.316,-12.207,-28.809,-20.996,-12.695,0.000
1680450924.320,-18.066,-32.715,-19.043,-0.488,0.000
1680450924.324,-15.137,-37.109,-22.949,-18.555,0.000
1680450924.328,-17.578,-36.621,-23.926,-41.992,0.000
1680450924.332,-20.508,-36.621,-17.090,-40.527,0.000
1680450924.336,-23.438,-40.527,-21.484,-28.809,0.000
1680450924.339,-25.879,-41.016,-19.043,-19.043,0.000
1680450924.343,-35.156,-45.410,-16.113,-30.273,0.000
1680450924.347,-32.715,-49.805,-26.855,-44.922,0.000
1680450924.351,-13.672,-51.270,-34.668,-43.945,0.000
1680450924.355,-19.043,-55.664,-25.391,-28.320,0.000
1680450924.359,-25.879,-57.129,-20.508,-13.184,0.000
1680450924.363,-25.879,-61.035,-27.344,-15.625,0.000
1680450924.367,-22.949,-61.035,-26.855,-37.598,0.000
1680450924.371,-9.277,-62.988,-31.738,-43.457,0.000
1680450924.375,-14.648,-80.566,-20.020,-26.855,0.000
1680450924.379,-1.953,-75.195,3.906,2.930,0.000
1680450924.382,9.766,-66.895,-5.859,1.465,0.000
1680450924.386,-13.672,-89.355,-25.879,-39.062,0.000
1680450924.390,-15.625,-87.891,-24.414,-42.969,0.000
1680450924.394,-10.742,-83.984,-12.695,-18.066,0.000
1680450924.398,-19.531,-91.309,-10.742,-4.883,0.000
1680450924.402,-21.973,-97.168,-7.324,-6.836,0.000
1680450924.406,-21.973,-99.609,-12.207,-26.855,0.000
1680450924.410,-9.766,-88.867,-14.648,-36.621,0.000
1680450924.414,1.953,-88.379,-11.230,-14.648,0.000
1680450924.418,-14.160,-103.027,-14.648,-2.441,0.000
1680450924.421,-28.320,-112.305,-13.672,-14.160,0.000
1680450924.425,-30.762,-103.516,-18.066,-26.855,0.000
1680450924.429,-22.949,-99.609,-35.156,-46.387,0.000
1680450924.433,-19.043,-103.027,-33.203,-41.992,0.000
1680450924.437,-13.184,-95.703,-20.996,-10.254,0.000
1680450924.441,-4.883,-89.844,-14.160,0.488,0.000
1680450924.445,-23.926,-92.285,-23.926,-21.973,0.000
1680450924.449,-21.973,-93.262,-37.109,-45.410,0.000
1680450924.453,1.465,-94.238,-31.738,-37.109,0.000
1680450924.457,-9.766,-92.773,-27.344,-14.160,0.000
1680450924.461,-22.461,-92.773,-31.738,-12.695,0.000
1680450924.464,-21.484,-90.332,-14.648,-20.020,0.000
1680450924.468,-13.184,-89.844,-6.348,-18.555,0.000
1680450924.472,-23.438,-89.355,-24.902,-16.602,0.000
1680450924.476,-29.785,-88.379,-29.785,-17.090,0.000
1680450924.480,-37.598,-93.262,-34.668,-27.832,0.000
1680450924.484,-47.363,-93.262,-38.574,-37.598,0.000
1680450924.488,-36.621,-84.473,-37.598,-45.410,0.000
1680450924.492,-14.160,-79.102,-35.645,-48.340,0.000
1680450924.496,-8.301,-78.125,-27.832,-19.531,0.000
1680450924.500,-23.438,-72.754,-18.555,-5.859,0.000
1680450924.504,-24.414,-64.453,-13.672,-18.555,0.000
1680450924.507,-17.578,-60.059,-17.090,-33.691,0.000
1680450924.511,-20.996,-69.336,-20.508,-43.945,0.000
1680450924.515,-18.066,-66.895,-20.996,-29.785,0.000
1680450924.519,-17.578,-58.105,-15.625,-9.277,0.000
1680450924.523,-22.461,-57.129,-13.184,-14.160,0.000
1680450924.527,-24.902,-57.617,-19.043,-34.668,0.000
1680450924.531,-10.254,-56.152,-22.461,-42.969,0.000
1680450924.535,-9.766,-48.828,-23.926,-27.344,0.000
1680450924.539,-11.230,-47.363,-17.090,-5.859,0.000
1680450924.543,-34.668,-59.570,-19.531,-9.766,0.000
1680450924.546,-52.734,-62.500,-36.133,-36.133,0.000
1680450924.550,-22.461,-52.246,-38.086,-49.316,0.000
1680450924.554,-25.879,-53.223,-19.043,-29.297,0.000
1680450924.558,-40.527,-60.547,-11.230,-5.371,0.000
1680450924.562,-40.527,-56.152,-24.902,-8.789,0.000
1680450924.566,-37.598,-48.828,-25.391,-30.273,0.000
1680450924.570,-23.926,-44.922,-20.996,-38.086,0.000
1680450924.574,-12.695,-48.828,-21.973,-24.414,0.000
1680450924.578,-23.438,-47.852,-23.926,-12.207,0.000
1680450924.582,-26.855,-41.992,-20.020,-17.090,0.000
1680450924.586,-26.367,-42.969,-19.531,-40.527,0.000
1680450924.589,-21.973,-43.457,-22.461,-46.387,0.000
1680450924.593,-8.301,-38.086,-21.973,-26.367,0.000
1680450924.597,-13.672,-30.762,-16.602,-4.883,0.000
1680450924.601,-28.809,-39.551,-12.695,2.930,0.000
1680450924.605,-35.156,-52.246,-24.902,-24.902,0.000
1680450924.609,-20.996,-45.898,-28.320,-46.875,0.000
1680450924.613,-13.672,-42.480,-22.949,-34.668,0.000
1680450924.617,-24.902,-44.922,-24.902,-12.207,0.000
1680450924.621,-29.297,-37.109,-20.996,4.883,0.000
1680450924.625,-32.715,-20.996,-21.973,-16.113,0.000
1680450924.629,-30.273,-24.902,-30.273,-50.293,0.000
1680450924.632,-25.391,-40.527,-35.645,-45.898,0.000
1680450924.636,-28.320,-41.504,-36.133,-21.973,0.000
