timestamps,TP9,AF7,AF8,TP10,Right AUX
1679679915.674,-58.105,-32.715,-30.273,-62.012,0.000
1679679915.678,-131.348,-34.668,-37.109,-74.707,0.000
1679679915.682,-55.664,-25.879,-38.086,-61.035,0.000
1679679915.685,65.430,-15.625,-12.207,-44.434,0.000
1679679915.689,83.008,-25.391,1.465,-33.203,0.000
1679679915.693,-36.621,-45.410,-20.996,-65.430,0.000
1679679915.697,-150.879,-36.133,-45.898,-101.074,0.000
1679679915.701,-88.379,-24.414,-43.457,-76.172,0.000
1679679915.705,40.039,-21.484,-20.996,-48.828,0.000
1679679915.709,51.270,-24.902,-16.113,-57.617,0.000
1679679915.713,-50.781,-28.320,-27.344,-75.684,0.000
1679679915.717,-141.602,-36.133,-40.039,-83.984,0.000
1679679915.721,-97.656,-45.410,-31.738,-68.848,0.000
1679679915.724,23.926,-29.785,-20.020,-42.969,0.000
1679679915.728,51.758,-17.578,-26.855,-49.316,0.000
1679679915.732,-24.414,-23.926,-26.855,-62.988,0.000
1679679915.736,-110.840,-32.227,-31.250,-67.383,0.000
1679679915.740,-95.703,-36.621,-29.297,-59.082,0.000
1679679915.744,12.207,-19.531,-26.855,-42.969,0.000
1679679915.748,59.082,-17.578,-35.645,-45.898,0.000
1679679915.752,-14.648,-36.133,-40.039,-62.500,0.000
1679679915.756,-104.980,-34.668,-42.480,-69.824,0.000
1679679915.760,-99.609,-25.391,-29.297,-55.664,0.000
1679679915.764,4.395,-18.066,-21.484,-43.457,0.000
1679679915.767,75.195,-8.301,-26.855,-42.480,0.000
1679679915.771,8.301,-23.438,-32.715,-49.805,0.000
1679679915.775,-105.469,-48.340,-33.691,-54.688,0.000
1679679915.779,-117.188,-52.734,-25.391,-49.805,0.000
1679679915.783,-15.137,-40.039,-30.273,-39.062,0.000
1679679915.787,62.988,-20.508,-41.504,-32.715,0.000
1679679915.791,24.414,-32.715,-40.039,-42.969,0.000
1679679915.795,-83.984,-50.293,-40.527,-57.129,0.000
1679679915.799,-122.559,-54.688,-33.203,-50.781,0.000
1679679915.803,-26.855,-25.879,-23.438,-37.109,0.000
1679679915.806,51.270,-3.418,-31.250,-45.898,0.000
1679679915.810,18.066,-20.996,-30.762,-55.176,0.000
1679679915.814,-80.078,-45.898,-34.668,-59.570,0.000
1679679915.818,-127.441,-56.152,-41.992,-57.617,0.000
1679679915.822,-54.199,-43.457,-33.203,-42.480,0.000
1679679915.826,49.316,-26.367,-27.832,-37.109,0.000
1679679915.830,66.895,-9.277,-33.203,-32.227,0.000
1679679915.834,-34.180,-20.996,-30.273,-26.855,0.000
1679679915.838,-130.371,-41.016,-12.695,-33.691,0.000
1679679915.842,-72.266,-30.762,-9.277,-34.180,0.000
1679679915.846,44.922,-24.902,-16.113,-32.227,0.000
1679679915.849,49.805,-43.945,-18.066,-42.480,0.000
1679679915.853,-73.242,-53.711,-29.785,-71.777,0.000
1679679915.857,-169.434,-46.387,-36.621,-88.379,0.000
1679679915.861,-90.332,-30.273,-19.531,-59.082,0.000
1679679915.865,45.410,-25.879,-18.555,-31.250,0.000
1679679915.869,56.641,-63.965,-27.832,-39.062,0.000
1679679915.873,-40.527,-76.660,-40.039,-51.270,0.000
1679679915.877,-133.301,-50.781,-52.734,-56.152,0.000
1679679915.881,-89.844,-21.973,-29.785,-53.711,0.000
1679679915.885,26.367,-7.324,-11.719,-45.898,0.000
1679679915.889,52.246,-20.508,-21.484,-43.945,0.000
1679679915.892,-24.902,-26.367,-23.438,-43.457,0.000
1679679915.896,-114.258,-36.133,-20.020,-42.969,0.000
1679679915.900,-95.703,-37.598,-27.344,-37.598,0.000
1679679915.904,15.137,-21.973,-31.250,-31.250,0.000
1679679915.908,65.430,-37.109,-27.344,-24.902,0.000
1679679915.912,-9.277,-60.059,-31.738,-35.645,0.000
1679679915.916,-112.793,-41.992,-28.809,-49.316,0.000
1679679915.920,-103.027,-10.254,-21.484,-36.621,0.000
1679679915.924,7.324,-8.789,-18.555,-29.785,0.000
1679679915.928,69.336,-20.996,-11.230,-29.297,0.000
1679679915.931,7.324,-23.926,-16.602,-30.762,0.000
1679679915.935,-107.422,-28.320,-24.902,-36.133,0.000
1679679915.939,-125.000,-29.785,-19.043,-34.668,0.000
1679679915.943,-26.367,-25.879,-22.949,-44.434,0.000
1679679915.947,56.152,-15.625,-30.273,-47.363,0.000
1679679915.951,21.484,-23.926,-25.391,-46.875,0.000
1679679915.955,-105.469,-36.621,-24.902,-56.641,0.000
1679679915.959,-137.207,-39.551,-34.180,-44.434,0.000
1679679915.963,-25.391,-42.969,-41.016,-18.555,0.000
1679679915.967,54.199,-25.391,-34.668,-23.926,0.000
1679679915.971,18.555,-9.277,-24.414,-41.504,0.000
1679679915.974,-89.355,-36.133,-34.180,-51.758,0.000
1679679915.978,-141.602,-55.176,-47.363,-53.223,0.000
1679679915.982,-34.180,-29.297,-29.297,-29.297,0.000
1679679915.986,73.730,-9.277,-20.508,-19.043,0.000
1679679915.990,27.344,-31.738,-33.203,-35.156,0.000
1679679915.994,-94.238,-59.570,-30.762,-47.363,0.000
1679679915.998,-151.367,-52.734,-36.133,-54.688,0.000
1679679916.002,-69.824,-30.273,-35.645,-43.457,0.000
1679679916.006,47.852,-28.809,-24.414,-26.367,0.000
1679679916.010,48.340,-30.273,-30.762,-33.691,0.000
1679679916.014,-62.988,-22.461,-41.016,-49.316,0.000
1679679916.017,-145.996,-34.180,-44.922,-49.805,0.000
1679679916.021,-79.102,-35.645,-35.645,-29.297,0.000
1679679916.025,54.199,-26.367,-25.879,-7.324,0.000
1679679916.029,65.430,-20.996,-25.879,-20.020,0.000
1679679916.033,-55.176,-33.203,-28.320,-48.340,0.000
1679679916.037,-152.344,-49.316,-39.551,-48.340,0.000
1679679916.041,-92.773,-31.250,-46.875,-32.715,0.000
1679679916.045,37.109,-15.625,-23.926,-22.949,0.000
1679679916.049,67.383,-22.949,-12.695,-30.273,0.000
1679679916.053,-14.160,-30.762,-27.832,-38.086,0.000
1679679916.056,-105.957,-35.645,-27.344,-31.250,0.000
1679679916.060,-98.145,-30.762,-11.230,-33.203,0.000
1679679916.064,9.766,-23.926,-5.371,-39.062,0.000
1679679916.068,49.805,-31.250,-17.578,-44.434,0.000
1679679916.072,-36.621,-42.969,-29.297,-60.547,0.000
1679679916.076,-139.648,-54.199,-33.203,-69.336,0.000
1679679916.080,-131.348,-45.410,-25.879,-56.152,0.000
1679679916.084,-10.254,-29.297,-17.578,-45.898,0.000
1679679916.088,62.988,-20.996,-14.648,-36.133,0.000
1679679916.092,4.395,-37.598,-15.625,-36.133,0.000
1679679916.096,-114.746,-46.387,-34.180,-51.758,0.000
1679679916.099,-132.812,-45.410,-54.199,-44.434,0.000
1679679916.103,-28.809,-41.992,-43.945,-31.738,0.000
1679679916.107,55.176,-22.949,-25.391,-33.203,0.000
1679679916.111,9.766,-26.367,-27.344,-38.574,0.000
1679679916.115,-112.305,-44.922,-32.227,-50.293,0.000
1679679916.119,-127.441,-41.504,-32.227,-49.316,0.000
1679679916.123,-25.879,-32.227,-25.391,-32.227,0.000
1679679916.127,49.316,-33.691,-19.043,-31.250,0.000
1679679916.131,11.719,-24.902,-31.738,-46.875,0.000
1679679916.135,-102.539,-28.809,-39.551,-56.152,0.000
1679679916.138,-131.836,-56.152,-30.762,-42.969,0.000
1679679916.142,-20.508,-41.016,-30.273,-20.508,0.000
1679679916.146,73.730,-14.160,-40.527,-15.137,0.000
1679679916.150,43.457,-7.812,-39.551,-19.043,0.000
1679679916.154,-76.660,-22.949,-31.250,-38.574,0.000
1679679916.158,-142.090,-38.086,-27.344,-48.828,0.000
1679679916.162,-54.688,-17.090,-18.555,-30.762,0.000
1679679916.166,53.223,-7.324,-12.207,-23.926,0.000
1679679916.170,41.992,-19.531,-21.484,-31.250,0.000
1679679916.174,-62.012,-28.320,-27.832,-37.598,0.000
1679679916.178,-137.695,-43.457,-26.367,-45.410,0.000
1679679916.181,-63.965,-45.410,-18.555,-27.832,0.000
1679679916.185,57.617,-27.832,-21.973,-14.160,0.000
1679679916.189,72.266,-18.555,-25.879,-20.996,0.000
1679679916.193,-33.691,-32.227,-21.973,-29.297,0.000
1679679916.197,-142.578,-43.457,-34.180,-41.992,0.000
1679679916.201,-88.867,-32.715,-34.180,-33.203,0.000
1679679916.205,41.016,-5.371,-18.555,-20.996,0.000
1679679916.209,63.477,5.859,-14.160,-25.391,0.000
1679679916.213,-33.203,-17.090,-18.555,-40.527,0.000
1679679916.217,-126.465,-27.344,-20.020,-48.340,0.000
1679679916.221,-84.961,-19.043,-18.555,-32.715,0.000
1679679916.224,34.180,-24.414,-21.484,-26.855,0.000
1679679916.228,72.754,-41.992,-21.484,-22.949,0.000
1679679916.232,-10.254,-50.781,-25.391,-25.391,0.000
1679679916.236,-115.234,-50.781,-37.598,-43.945,0.000
1679679916.240,-101.562,-48.828,-28.320,-42.969,0.000
1679679916.244,35.156,-25.391,-0.977,-0.977,0.000
1679679916.248,103.516,-12.695,0.000,11.230,0.000
1679679916.252,5.859,-11.230,-20.996,-31.250,0.000
1679679916.256,-117.676,-17.578,-33.203,-61.523,0.000
1679679916.260,-114.746,-24.902,-32.715,-52.246,0.000
1679679916.263,8.301,-12.695,-28.320,-28.809,0.000
1679679916.267,84.473,-4.883,-19.043,-21.484,0.000
1679679916.271,10.742,-21.484,-29.785,-41.504,0.000
1679679916.275,-105.469,-31.738,-44.922,-62.012,0.000
1679679916.279,-121.582,-22.949,-41.992,-49.805,0.000
1679679916.283,-20.508,-15.137,-34.180,-32.227,0.000
1679679916.287,76.172,-12.695,-23.926,-27.344,0.000
1679679916.291,44.434,-26.855,-29.785,-33.691,0.000
1679679916.295,-90.820,-43.457,-46.387,-55.664,0.000
1679679916.299,-135.742,-36.133,-48.828,-62.988,0.000
1679679916.303,-20.020,-23.926,-36.621,-41.992,0.000
1679679916.306,65.918,-21.973,-28.320,-35.156,0.000
1679679916.310,27.344,-23.438,-34.668,-51.758,0.000
1679679916.314,-87.891,-54.199,-47.363,-60.059,0.000
1679679916.318,-139.160,-58.594,-53.711,-49.316,0.000
1679679916.322,-61.523,-17.090,-44.434,-41.992,0.000
1679679916.326,37.109,-16.113,-24.414,-44.434,0.000
1679679916.330,31.738,-27.344,-22.461,-47.363,0.000
1679679916.334,-81.543,-23.438,-30.762,-53.711,0.000
1679679916.338,-148.926,-42.480,-32.715,-45.898,0.000
1679679916.342,-69.336,-47.852,-28.320,-30.762,0.000
1679679916.346,38.574,-10.254,-28.320,-27.832,0.000
1679679916.349,30.762,5.859,-32.715,-41.016,0.000
1679679916.353,-61.035,-16.113,-32.715,-45.410,0.000
1679679916.357,-131.836,-35.156,-38.086,-50.781,0.000
1679679916.361,-71.777,-36.133,-43.945,-35.645,0.000
1679679916.365,56.152,-17.578,-28.320,-11.230,0.000
1679679916.369,67.383,-16.113,-17.090,-23.438,0.000
1679679916.373,-60.059,-31.738,-31.250,-49.805,0.000
1679679916.377,-152.344,-43.945,-32.227,-54.688,0.000
1679679916.381,-99.609,-49.316,-31.250,-39.551,0.000
1679679916.385,20.996,-29.785,-28.809,-28.320,0.000
1679679916.388,58.105,-23.438,-21.973,-37.598,0.000
1679679916.392,-29.297,-26.367,-32.227,-43.945,0.000
1679679916.396,-128.418,-28.320,-47.363,-44.434,0.000
1679679916.400,-99.609,-33.691,-36.621,-30.273,0.000
1679679916.404,32.715,-33.691,-17.090,-13.184,0.000
1679679916.408,78.613,-26.855,-22.949,-18.066,0.000
1679679916.412,-6.348,-35.156,-36.133,-28.809,0.000
1679679916.416,-109.863,-42.969,-39.062,-40.527,0.000
1679679916.420,-101.074,-27.832,-41.992,-39.062,0.000
1679679916.424,4.883,-26.367,-32.715,-31.738,0.000
1679679916.428,61.523,-27.832,-21.484,-29.785,0.000
1679679916.431,7.324,-31.738,-27.832,-40.039,0.000
1679679916.435,-103.027,-41.504,-42.969,-46.387,0.000
1679679916.439,-120.117,-21.973,-40.527,-40.527,0.000
1679679916.443,-4.395,-5.371,-21.973,-26.855,0.000
1679679916.447,70.312,-19.531,-17.578,-14.160,0.000
1679679916.451,11.719,-19.531,-28.320,-26.855,0.000
1679679916.455,-105.469,-32.715,-28.809,-45.410,0.000
1679679916.459,-134.277,-44.922,-20.020,-42.969,0.000
1679679916.463,-32.715,-20.508,-17.578,-25.879,0.000
1679679916.467,47.363,-19.043,-19.043,-26.855,0.000
1679679916.471,5.859,-42.969,-18.555,-35.645,0.000
1679679916.474,-110.352,-47.852,-28.320,-46.875,0.000
1679679916.478,-130.859,-26.855,-46.387,-35.156,0.000
1679679916.482,-14.160,-18.555,-33.203,12.695,0.000
1679679916.486,54.688,-14.648,0.000,1.465,0.000
1679679916.490,4.883,-11.230,7.324,-39.062,0.000
1679679916.494,-116.699,-39.551,-15.625,-60.059,0.000
1679679916.498,-194.824,-58.105,-31.250,-70.801,0.000
1679679916.502,-120.605,-49.316,-15.137,-60.547,0.000
1679679916.506,-4.883,-41.992,1.465,-54.199,0.000
1679679916.510,-8.301,-50.781,8.789,-50.781,0.000
1679679916.513,-123.047,-66.406,0.977,-59.082,0.000
1679679916.517,-211.426,-51.758,-11.230,-78.613,0.000
1679679916.521,-136.230,-36.133,-2.930,-63.965,0.000
1679679916.525,-12.207,-41.016,5.859,-41.992,0.000
1679679916.529,-25.391,-48.340,-2.930,-46.875,0.000
1679679916.533,-124.023,-55.176,2.930,-53.711,0.000
1679679916.537,-193.848,-57.617,9.766,-55.664,0.000
1679679916.541,-141.602,-56.641,2.930,-38.086,0.000
1679679916.545,-23.926,-49.805,8.301,-24.902,0.000
1679679916.549,20.996,-45.410,10.742,-21.484,0.000
