timestamps,TP9,AF7,AF8,TP10,Right AUX
1679759063.488,9.277,36.621,63.965,92.773,0.000
1679759063.492,-20.996,-31.250,-25.879,-41.992,0.000
1679759063.495,-41.992,-96.191,-120.605,-162.109,0.000
1679759063.499,-39.551,-66.895,-86.914,-94.727,0.000
1679759063.503,-17.090,9.766,17.090,51.758,0.000
1679759063.507,23.438,53.711,63.477,97.168,0.000
1679759063.511,3.906,-6.348,-3.906,-9.277,0.000
1679759063.515,-50.781,-118.164,-111.328,-141.602,0.000
1679759063.519,-39.062,-115.723,-106.934,-109.375,0.000
1679759063.523,4.395,-22.461,-3.906,35.156,0.000
1679759063.527,2.930,29.785,47.852,82.031,0.000
1679759063.531,-40.039,-10.742,-13.672,-27.344,0.000
1679759063.535,-61.035,-91.797,-112.305,-162.109,0.000
1679759063.538,-43.945,-105.469,-114.258,-130.371,0.000
1679759063.542,-21.484,-40.039,-17.090,12.695,0.000
1679759063.546,-14.160,30.762,57.617,82.031,0.000
1679759063.550,-47.852,20.996,14.160,-2.930,0.000
1679759063.554,-64.453,-71.289,-99.609,-141.602,0.000
1679759063.558,-41.992,-134.277,-127.441,-144.043,0.000
1679759063.562,-35.156,-71.289,-34.180,-21.973,0.000
1679759063.566,-34.180,24.902,56.641,58.594,0.000
1679759063.570,-41.992,8.789,29.297,6.348,0.000
1679759063.574,-59.570,-78.125,-81.055,-120.117,0.000
1679759063.577,-38.574,-113.281,-123.047,-155.273,0.000
1679759063.581,-9.277,-53.711,-46.387,-33.203,0.000
1679759063.585,3.418,25.391,44.434,90.820,0.000
1679759063.589,-5.371,15.137,37.598,44.434,0.000
1679759063.593,-30.762,-54.199,-57.129,-106.445,0.000
1679759063.597,-33.691,-104.492,-117.676,-152.832,0.000
1679759063.601,-6.836,-62.988,-51.270,-31.738,0.000
1679759063.605,20.996,13.184,50.293,99.121,0.000
1679759063.609,0.977,21.973,48.828,60.059,0.000
1679759063.613,-43.945,-57.129,-54.199,-100.586,0.000
1679759063.617,-46.387,-122.559,-124.023,-166.504,0.000
1679759063.620,-16.113,-86.426,-66.406,-59.570,0.000
1679759063.624,14.160,14.160,42.969,81.055,0.000
1679759063.628,-0.977,42.480,56.152,63.965,0.000
1679759063.632,-51.270,-40.039,-42.480,-84.473,0.000
1679759063.636,-48.828,-117.676,-124.023,-166.992,0.000
1679759063.640,-28.320,-80.566,-72.754,-81.055,0.000
1679759063.644,-20.996,19.531,32.715,44.922,0.000
1679759063.648,-2.441,58.594,60.059,58.594,0.000
1679759063.652,-23.438,-4.883,-17.578,-52.734,0.000
1679759063.656,-41.992,-106.445,-115.234,-153.320,0.000
1679759063.660,-37.109,-87.891,-91.309,-98.633,0.000
1679759063.663,-12.695,16.602,17.578,41.992,0.000
1679759063.667,-2.441,35.645,62.988,82.520,0.000
1679759063.671,-21.973,-25.391,-2.441,-31.250,0.000
1679759063.675,-58.105,-96.680,-103.516,-156.250,0.000
1679759063.679,-30.762,-99.121,-96.680,-109.375,0.000
1679759063.683,25.391,-11.719,6.348,50.293,0.000
1679759063.687,14.648,66.406,65.918,105.957,0.000
1679759063.691,-13.184,17.090,0.000,-4.883,0.000
1679759063.695,-27.344,-79.590,-106.445,-136.230,0.000
1679759063.699,-27.344,-107.422,-113.770,-121.094,0.000
1679759063.703,-14.160,-49.805,-16.113,9.277,0.000
1679759063.706,-9.277,20.996,60.059,83.984,0.000
1679759063.710,-8.789,2.441,12.695,13.184,0.000
1679759063.714,-12.695,-92.773,-98.145,-108.887,0.000
1679759063.718,-17.578,-105.469,-113.281,-122.070,0.000
1679759063.722,-8.789,-33.691,-26.855,-6.836,0.000
1679759063.726,1.953,25.879,58.594,85.449,0.000
1679759063.730,-18.066,6.348,35.645,19.531,0.000
1679759063.734,-39.551,-70.801,-71.777,-120.605,0.000
1679759063.738,-22.949,-95.703,-110.840,-132.812,0.000
1679759063.742,-2.441,-22.461,-31.738,-4.883,0.000
1679759063.746,6.348,39.062,54.199,105.957,0.000
1679759063.749,4.395,17.090,37.598,62.988,0.000
1679759063.753,-39.062,-60.059,-69.336,-95.703,0.000
1679759063.757,-51.758,-105.957,-126.953,-147.949,0.000
1679759063.761,-11.719,-60.547,-58.594,-38.086,0.000
1679759063.765,4.395,29.785,46.875,89.844,0.000
1679759063.769,15.137,38.574,50.781,69.824,0.000
1679759063.773,-7.812,-43.945,-50.293,-86.914,0.000
1679759063.777,-30.762,-93.262,-118.164,-158.691,0.000
1679759063.781,11.230,-45.410,-73.242,-48.340,0.000
1679759063.785,33.691,19.531,28.320,85.938,0.000
1679759063.789,-16.113,38.574,51.758,58.105,0.000
1679759063.792,-46.875,-37.598,-41.016,-84.473,0.000
1679759063.796,-46.875,-120.605,-122.559,-156.250,0.000
1679759063.800,-27.832,-87.402,-81.055,-74.707,0.000
1679759063.804,-0.977,-1.465,26.855,63.965,0.000
1679759063.808,-4.883,30.762,56.152,79.590,0.000
1679759063.812,-46.387,-24.414,-29.785,-59.082,0.000
1679759063.816,-79.102,-104.980,-122.559,-179.199,0.000
1679759063.820,-39.551,-91.797,-97.168,-129.883,0.000
1679759063.824,-21.484,-10.254,3.418,15.625,0.000
1679759063.828,-22.461,37.109,47.852,61.523,0.000
1679759063.832,-41.504,2.441,-10.742,-37.109,0.000
1679759063.835,-29.785,-77.148,-104.004,-147.949,0.000
1679759063.839,-19.531,-111.816,-107.422,-132.812,0.000
1679759063.843,-41.504,-26.367,-6.348,-2.441,0.000
1679759063.847,-4.395,52.246,61.035,84.473,0.000
1679759063.851,-12.207,1.953,5.859,-11.719,0.000
