poor_signal,raw,attention,meditation
0,-444,30,34
0,58,30,34
0,38,29,14
0,13,29,21
0,67,35,23
0,50,53,40
0,27,64,69
0,43,66,77
0,91,43,61
0,22,29,56
0,0,21,61
0,51,26,56
0,70,37,70
0,19,37,70
0,57,44,77
0,103,27,41
0,43,10,38
0,66,20,43
0,65,3,35
0,38,13,53
0,-109,26,60
0,86,7,60
0,59,20,51
0,76,35,60
0,55,35,60
0,72,35,54
0,59,54,38
0,89,60,60
0,77,30,41
0,35,30,43
0,67,27,54
0,104,27,53
0,56,38,51
0,43,51,44
0,49,56,50
0,59,64,27
0,28,64,27
0,72,74,48
0,108,54,57
0,41,57,63
0,38,51,77
0,40,48,50
0,1,67,51
0,49,74,41
0,88,78,34
0,290,91,67
0,82,60,60
0,-24,60,60
0,70,50,74
0,39,50,75
0,69,53,67
0,34,75,70
0,23,54,44
0,72,50,51
0,25,48,50
0,48,53,43
0,23,61,44
0,26,61,43
0,71,57,50
0,-9,57,50
0,76,51,67
0,5,74,80
