poor_signal,raw,attention,meditation
0,-4,30,51
0,83,30,51
0,-11,27,53
0,81,29,63
0,56,30,60
0,21,50,40
0,23,64,26
0,11,70,10
0,-6,78,1
0,38,80,3
0,59,69,17
0,28,67,20
0,67,51,53
0,81,51,53
0,-25,56,54
0,87,57,48
0,59,57,63
0,49,69,51
0,37,51,64
0,60,54,78
0,70,57,74
0,87,56,74
0,52,60,48
0,39,56,53
0,108,51,54
0,9,51,54
0,-23,54,48
0,68,64,63
0,26,67,56
0,81,77,56
0,88,78,63
0,65,69,67
0,11,77,67
0,124,67,78
0,23,57,63
0,-30,57,63
0,26,54,69
0,104,54,67
0,2,57,60
0,-35,77,53
0,154,75,54
0,17,74,44
0,84,69,38
0,34,44,70
0,97,48,67
0,72,38,80
0,20,35,84
0,-18,35,84
0,13,47,61
0,106,35,54
0,92,41,51
0,75,51,44
0,67,63,47
0,38,75,53
0,-4,70,51
0,-12,69,54
0,16,53,63
0,84,54,56
0,87,54,56
0,-46,56,67
0,57,48,61
0,32,66,56
0,41,66,69
