timestamps,TP9,AF7,AF8,TP10,Right AUX
1680449783.748,354.004,21.484,-27.832,388.184,0.000
1680449783.752,158.691,10.254,-29.785,-923.340,0.000
1680449783.756,-133.301,-10.742,-23.438,907.715,0.000
1680449783.759,71.289,-6.836,-17.578,986.328,0.000
1680449783.763,372.559,-3.418,-23.438,900.879,0.000
1680449783.767,341.797,14.648,-25.879,-933.594,0.000
1680449783.771,-87.402,-39.062,-27.832,625.977,0.000
1680449783.775,-643.066,-160.156,-39.062,-798.340,0.000
1680449783.779,-498.535,-118.164,-29.297,-1000.000,0.000
1680449783.783,51.758,-23.926,-10.254,-941.895,0.000
1680449783.787,145.508,8.301,-24.902,-1000.000,0.000
1680449783.791,-151.367,-12.207,-33.203,-991.699,0.000
1680449783.795,-390.625,-63.965,-25.391,-953.125,0.000
1680449783.798,-250.000,-20.996,-25.879,-1000.000,0.000
1680449783.802,389.648,76.660,-24.902,-72.754,0.000
1680449783.806,693.359,43.457,-27.344,-931.641,0.000
1680449783.810,233.887,-40.527,-28.809,933.105,0.000
1680449783.814,-132.812,-37.109,-21.484,950.684,0.000
1680449783.818,-66.895,-8.301,-21.973,972.168,0.000
1680449783.822,272.461,-29.785,-21.973,964.844,0.000
1680449783.826,396.973,-40.039,-24.902,910.645,0.000
1680449783.830,142.090,-53.711,-35.156,-900.391,0.000
1680449783.834,-405.762,-78.613,-33.203,126.465,0.000
1680449783.838,-582.031,-77.148,-32.227,-1000.000,0.000
1680449783.841,-135.254,-45.898,-29.785,-1000.000,0.000
1680449783.845,278.809,-8.789,-27.344,-296.387,0.000
1680449783.849,376.953,39.062,-26.367,994.629,0.000
1680449783.853,-4.883,-5.371,-23.438,968.262,0.000
1680449783.857,-125.488,-52.734,-24.902,932.617,0.000
1680449783.861,218.750,-10.254,-27.832,984.863,0.000
1680449783.865,421.387,7.812,-30.762,897.461,0.000
1680449783.869,244.141,-40.527,-20.020,-896.484,0.000
1680449783.873,-265.137,-85.938,-16.113,343.262,0.000
1680449783.877,-640.625,-127.441,-28.320,-1000.000,0.000
1680449783.881,-268.066,-67.871,-27.832,-1000.000,0.000
1680449783.884,148.438,-30.273,-26.367,-960.449,0.000
1680449783.888,39.551,-51.758,-28.320,-1000.000,0.000
1680449783.892,-304.199,-49.805,-32.227,-972.168,0.000
1680449783.896,-383.301,-34.668,-29.297,-990.723,0.000
1680449783.900,-83.496,-17.090,-37.598,-1000.000,0.000
1680449783.904,497.559,18.555,-33.691,200.195,0.000
1680449783.908,591.309,33.691,-30.273,-907.715,0.000
1680449783.912,58.594,-18.555,-39.062,910.156,0.000
1680449783.916,-201.172,-85.449,-33.203,966.797,0.000
1680449783.920,57.129,-41.016,-29.785,974.121,0.000
1680449783.923,387.207,-18.066,-23.926,942.383,0.000
1680449783.927,313.477,-21.973,-15.137,953.613,0.000
1680449783.931,-6.836,-39.062,-19.043,997.070,0.000
1680449783.935,-469.238,-91.309,-20.508,-145.020,0.000
1680449783.939,-486.328,-87.402,-23.926,-1000.000,0.000
1680449783.943,18.066,-27.832,-30.762,-799.316,0.000
1680449783.947,402.344,20.020,-32.227,433.594,0.000
1680449783.951,214.355,-20.020,-33.691,-836.426,0.000
1680449783.955,-240.234,-53.711,-36.133,512.207,0.000
1680449783.959,-382.812,-23.438,-23.438,-963.867,0.000
1680449783.963,-5.859,-19.043,-15.137,-638.184,0.000
1680449783.966,457.031,-19.043,-23.438,792.969,0.000
1680449783.970,232.422,-42.969,-23.438,-851.562,0.000
1680449783.974,-310.059,-78.613,-24.414,231.934,0.000
1680449783.978,-475.098,-88.379,-25.879,-953.125,0.000
1680449783.982,-114.258,-77.148,-28.809,-1000.000,0.000
1680449783.986,306.641,8.789,-28.320,-227.051,0.000
1680449783.990,329.590,62.012,-30.762,-986.328,0.000
1680449783.994,-92.773,-26.855,-30.273,958.496,0.000
1680449783.998,-133.789,-58.105,-28.320,937.500,0.000
1680449784.002,233.398,-6.836,-31.738,974.121,0.000
1680449784.006,401.367,22.949,-15.625,908.203,0.000
1680449784.009,138.672,-44.922,-14.648,-897.461,0.000
1680449784.013,-448.242,-90.332,-25.391,146.484,0.000
1680449784.017,-702.637,-116.211,-22.461,-1000.000,0.000
1680449784.021,-254.395,-67.871,-20.020,-1000.000,0.000
1680449784.025,255.371,16.113,-26.367,-276.367,0.000
1680449784.029,346.191,18.066,-29.785,974.609,0.000
1680449784.033,-53.711,-52.734,-28.809,-973.145,0.000
1680449784.037,-398.926,-47.852,-28.809,7.324,0.000
1680449784.041,-340.332,-48.340,-23.438,-1000.000,0.000
1680449784.045,220.215,-12.695,-19.531,-209.961,0.000
1680449784.048,396.484,37.109,-12.695,986.816,0.000
1680449784.052,-26.855,-4.395,-8.301,-916.992,0.000
1680449784.056,-413.086,-99.121,-16.113,195.312,0.000
1680449784.060,-406.738,-103.027,-12.207,-1000.000,0.000
1680449784.064,189.453,-5.859,-5.859,-242.188,0.000
1680449784.068,453.125,59.570,-11.719,986.816,0.000
1680449784.072,38.574,9.766,-24.902,-910.156,0.000
1680449784.076,-429.199,-108.887,-27.832,215.332,0.000
1680449784.080,-506.348,-88.867,-23.926,-1000.000,0.000
1680449784.084,184.082,35.156,-26.855,-216.309,0.000
1680449784.088,521.484,35.645,-26.855,-895.508,0.000
1680449784.091,-37.598,-70.801,-24.414,847.656,0.000
1680449784.095,-590.332,-90.332,-25.879,-410.156,0.000
1680449784.099,-499.023,-54.688,-24.414,-1000.000,0.000
1680449784.103,156.250,-26.367,-20.996,-326.172,0.000
1680449784.107,556.641,15.625,-19.043,961.426,0.000
1680449784.111,162.598,-21.484,-17.578,980.957,0.000
1680449784.115,-216.797,-24.414,-20.996,926.758,0.000
1680449784.119,-24.902,-9.277,-21.484,982.910,0.000
1680449784.123,350.098,7.324,-17.090,949.219,0.000
1680449784.127,399.414,17.090,-14.648,938.477,0.000
1680449784.131,62.988,-34.668,-17.090,-965.820,0.000
1680449784.134,-541.504,-108.887,-25.879,-31.738,0.000
1680449784.138,-661.621,-86.914,-23.926,-1000.000,0.000
1680449784.142,2.441,33.691,-23.438,-586.914,0.000
1680449784.146,562.500,67.871,-26.367,792.969,0.000
1680449784.150,305.664,-15.625,-27.344,-972.656,0.000
1680449784.154,-197.754,-56.641,-23.438,910.645,0.000
1680449784.158,-123.047,-31.738,-16.113,982.910,0.000
1680449784.162,283.691,10.742,-16.113,962.891,0.000
1680449784.166,418.945,1.465,-19.043,913.574,0.000
1680449784.170,150.879,-38.574,-22.949,-904.785,0.000
1680449784.173,-477.051,-70.312,-26.855,95.215,0.000
1680449784.177,-729.492,-73.242,-33.203,-1000.000,0.000
1680449784.181,-228.027,-22.949,-37.109,-1000.000,0.000
1680449784.185,300.293,5.371,-39.551,-291.504,0.000
1680449784.189,392.090,30.762,-39.062,929.199,0.000
1680449784.193,-32.715,24.414,-42.969,-900.391,0.000
1680449784.197,-352.051,-54.199,-42.480,257.324,0.000
1680449784.201,-328.613,-100.098,-34.668,-1000.000,0.000
1680449784.205,42.480,-35.645,-32.715,-1000.000,0.000
1680449784.209,-3.906,3.418,-38.086,-976.562,0.000
1680449784.213,-407.227,-14.648,-41.504,-959.961,0.000
1680449784.216,-470.703,-9.277,-36.621,-1000.000,0.000
1680449784.220,-77.637,-7.324,-34.668,-868.652,0.000
1680449784.224,628.906,54.199,-34.668,504.883,0.000
1680449784.228,672.852,56.641,-34.668,-926.758,0.000
1680449784.232,7.324,-29.297,-39.551,903.320,0.000
1680449784.236,-243.164,-34.180,-40.039,977.539,0.000
1680449784.240,97.656,53.711,-38.086,976.562,0.000
1680449784.244,454.102,32.227,-31.250,928.711,0.000
1680449784.248,350.586,-20.020,-26.855,982.910,0.000
1680449784.252,-84.473,-32.227,-29.785,929.199,0.000
1680449784.256,-661.621,-104.980,-29.785,-375.488,0.000
1680449784.259,-548.828,-66.895,-27.344,-1000.000,0.000
1680449784.263,67.383,-26.367,-25.879,-939.453,0.000
1680449784.267,144.043,-12.207,-28.809,-1000.000,0.000
1680449784.271,-215.820,7.812,-29.785,-1000.000,0.000
1680449784.275,-470.703,-50.293,-31.738,-939.453,0.000
1680449784.279,-256.348,-56.641,-33.691,-1000.000,0.000
1680449784.283,490.234,63.477,-29.785,-198.730,0.000
1680449784.287,879.883,127.441,-26.367,-956.055,0.000
1680449784.291,280.762,-18.555,-20.508,948.242,0.000
1680449784.295,-187.012,-55.664,-19.043,941.895,0.000
1680449784.298,-31.250,-20.020,-27.344,979.980,0.000
1680449784.302,383.789,-10.254,-27.832,941.406,0.000
1680449784.306,473.145,-15.137,-28.809,954.102,0.000
1680449784.310,118.164,-44.922,-30.273,-987.305,0.000
1680449784.314,-580.078,-90.332,-27.344,-204.102,0.000
1680449784.318,-687.500,-56.152,-22.949,-1000.000,0.000
1680449784.322,-71.289,-8.789,-21.973,-1000.000,0.000
1680449784.326,427.246,-6.836,-26.855,-152.344,0.000
1680449784.330,425.781,25.391,-32.227,-950.195,0.000
1680449784.334,-82.520,5.859,-24.902,943.359,0.000
1680449784.338,-131.836,-40.527,-20.020,944.824,0.000
1680449784.341,315.430,-16.602,-30.273,973.633,0.000
