timestamps,TP9,AF7,AF8,TP10
1683641582.192,-51.270,-34.668,-15.625,-44.434
1683641582.196,-41.992,-29.297,-3.906,-34.668
1683641582.200,-27.832,-15.625,-8.301,-25.879
1683641582.204,-22.461,-20.020,-28.809,-27.344
1683641582.208,-28.809,-28.809,-40.039,-38.086
1683641582.212,-26.855,-26.855,-39.551,-33.691
1683641582.216,-29.785,-11.230,-35.156,-22.461
1683641582.219,-37.109,-18.555,-18.066,-23.438
1683641582.223,-43.945,-37.598,-1.953,-23.926
1683641582.227,-52.734,-45.410,-31.250,-24.414
1683641582.231,-43.945,-38.086,-30.762,-22.949
1683641582.235,-34.180,-33.203,-2.441,-20.996
1683641582.237,-27.344,-30.273,-11.719,-17.578
1683641582.241,-26.367,-22.461,-25.391,-15.137
1683641582.245,-36.133,-31.250,-35.156,-23.926
1683641582.249,-44.434,-40.039,-31.738,-31.738
1683641582.253,-33.691,-29.785,-35.156,-21.973
1683641582.257,-15.137,-11.230,-35.645,-14.648
1683641582.261,-19.531,-7.812,-29.297,-20.508
1683641582.264,-34.180,-24.414,-22.949,-29.785
1683641582.268,-32.227,-32.227,-23.438,-37.598
1683641582.272,-27.832,-25.879,-31.738,-30.762
1683641582.276,-29.785,-30.762,-23.926,-22.949
1683641582.280,-28.809,-35.156,-33.203,-26.855
1683641582.282,-28.320,-26.855,-41.992,-34.180
1683641582.286,-45.410,-32.715,-21.973,-36.621
1683641582.290,-49.805,-29.297,-19.531,-33.691
1683641582.294,-34.668,-20.020,-20.508,-27.832
1683641582.298,-20.508,-16.602,-13.184,-18.066
1683641582.302,-16.113,-12.695,-20.508,-25.879
1683641582.306,-29.297,-23.438,-39.062,-41.992
1683641582.309,-34.668,-33.691,-43.945,-37.598
1683641582.313,-29.785,-29.785,-26.367,-29.785
1683641582.317,-27.344,-34.180,-12.695,-30.273
1683641582.321,-32.227,-35.645,-16.602,-28.809
1683641582.325,-36.133,-26.367,-22.949,-31.250
1683641582.327,-31.250,-18.066,-26.855,-31.250
1683641582.331,-22.461,-16.113,-28.320,-23.438
1683641582.335,-11.719,-11.719,-22.949,-14.648
1683641582.339,-8.789,-11.230,-36.133,-17.578
1683641582.343,-20.996,-22.461,-41.504,-31.250
1683641582.347,-31.738,-21.973,-16.113,-35.645
1683641582.351,-31.250,-20.996,2.930,-34.180
1683641582.354,-25.879,-18.066,-0.977,-27.344
1683641582.358,-26.855,-24.414,-31.250,-30.273
1683641582.362,-36.621,-39.062,-57.129,-38.574
1683641582.366,-41.016,-28.320,-43.945,-39.062
1683641582.370,-39.062,-23.438,-25.879,-36.621
1683641582.372,-40.039,-24.902,-31.250,-32.715
1683641582.376,-50.781,-24.902,-43.945,-35.645
1683641582.380,-62.988,-35.645,-46.387,-47.852
1683641582.384,-72.754,-36.133,-30.273,-49.805
1683641582.388,-68.848,-23.926,-18.066,-36.133
1683641582.392,-59.082,-20.020,-21.973,-30.273
1683641582.396,-66.406,-25.391,-25.879,-36.133
1683641582.399,-72.266,-35.645,-44.434,-42.969
1683641582.403,-73.730,-35.645,-62.012,-47.852
1683641582.407,-72.754,-30.762,-50.781,-48.828
1683641582.411,-68.359,-38.574,-39.551,-47.363
1683641582.415,-73.730,-35.645,-33.691,-44.922
1683641582.417,-70.801,-31.738,-47.852,-49.316
1683641582.421,-74.219,-37.109,-62.500,-55.176
1683641582.425,-83.984,-36.133,-40.527,-51.758
1683641582.429,-71.289,-37.598,-27.344,-41.992
1683641582.433,-60.059,-39.062,-33.203,-35.645
1683641582.437,-59.082,-25.879,-37.109,-36.621
1683641582.441,-62.012,-29.785,-49.316,-41.992
1683641582.444,-66.406,-38.086,-53.223,-48.828
1683641582.448,-62.012,-27.832,-27.832,-50.293
1683641582.452,-63.965,-33.691,-17.090,-51.270
1683641582.456,-71.289,-40.039,-38.086,-57.617
1683641582.460,-71.777,-42.969,-42.969,-59.570
1683641582.477,-65.918,-40.527,-27.344,-55.176
1683641582.481,-58.105,-36.133,-23.438,-44.922
1683641582.485,-46.875,-31.250,-49.316,-36.621
1683641582.489,-53.223,-26.367,-70.312,-41.016
1683641582.493,-73.242,-48.828,-52.246,-53.711
1683641582.497,-69.336,-48.828,-21.484,-55.176
1683641582.501,-55.176,-30.273,-5.859,-40.527
1683641582.504,-51.758,-33.203,-16.602,-41.504
1683641582.508,-56.641,-34.668,-38.086,-49.805
1683641582.512,-62.500,-43.457,-37.598,-43.457
1683641582.516,-59.570,-42.480,-32.715,-41.016
1683641582.520,-53.711,-40.039,-34.180,-41.016
1683641582.522,-52.734,-46.875,-27.344,-32.715
1683641582.526,-47.852,-49.805,-28.809,-35.156
1683641582.530,-59.570,-51.758,-42.969,-43.945
1683641582.534,-62.012,-43.457,-30.762,-40.527
1683641582.538,-51.270,-39.551,-16.602,-37.109
1683641582.542,-52.246,-43.457,-19.043,-36.133
1683641582.546,-55.176,-42.969,-37.598,-36.621
1683641582.549,-49.805,-41.016,-54.199,-41.016
1683641582.553,-50.293,-42.480,-34.668,-43.945
1683641582.557,-45.898,-45.410,-19.531,-37.598
1683641582.561,-35.156,-37.109,-8.789,-25.879
1683641582.565,-28.809,-29.297,-16.602,-24.902
1683641582.567,-30.762,-34.668,-46.387,-36.133
1683641582.571,-37.109,-35.645,-35.156,-45.410
1683641582.575,-25.391,-28.320,-11.230,-37.598
1683641582.579,-17.578,-23.926,-19.531,-30.762
1683641582.583,-37.598,-29.785,-39.551,-35.645
1683641582.587,-53.223,-39.062,-34.668,-40.527
1683641582.591,-50.293,-42.480,-39.062,-42.969
1683641582.594,-41.016,-33.691,-39.551,-44.922
1683641582.598,-33.203,-23.926,-6.348,-41.992
1683641582.602,-31.738,-30.762,-10.254,-36.621
1683641582.606,-32.227,-31.250,-41.016,-31.738
1683641582.610,-42.480,-32.227,-58.594,-40.039
1683641582.612,-39.062,-41.992,-40.527,-43.945
1683641582.616,-23.926,-31.250,-11.230,-31.738
1683641582.620,-17.578,-18.066,-17.090,-20.508
1683641582.624,-19.043,-21.973,-45.898,-25.391
1683641582.628,-32.715,-34.180,-56.152,-36.621
1683641582.632,-29.785,-29.785,-38.086,-36.621
1683641582.636,-30.762,-32.715,-20.508,-33.203
1683641582.639,-32.715,-48.828,-18.066,-32.227
1683641582.643,-32.715,-46.875,-27.344,-38.086
1683641582.647,-38.086,-38.086,-39.062,-42.969
1683641582.651,-35.645,-31.250,-26.367,-44.434
1683641582.655,-25.391,-21.484,-19.043,-34.180
1683641582.657,-19.043,-19.043,-33.691,-20.508
1683641582.661,-24.414,-24.414,-46.387,-22.461
1683641582.665,-38.574,-33.203,-39.551,-36.133
1683641582.669,-38.086,-36.621,-19.043,-40.039
1683641582.673,-30.762,-32.227,-24.414,-33.203
