timestamps,TP9,AF7,AF8,TP10
1683642570.502,-7.812,-18.555,-30.762,-1.465
1683642570.506,-33.691,-35.645,-48.340,-45.410
1683642570.510,-57.129,-41.992,-44.922,-82.520
1683642570.514,-52.734,-37.598,-29.297,-65.430
1683642570.518,-24.902,-28.320,-18.066,-14.160
1683642570.522,-15.137,-22.461,-24.902,0.977
1683642570.526,-35.645,-29.297,-41.016,-42.969
1683642570.529,-54.688,-34.180,-41.992,-84.473
1683642570.533,-50.293,-40.039,-31.250,-75.684
1683642570.537,-28.809,-37.109,-27.832,-30.273
1683642570.541,-19.043,-26.855,-36.133,-14.648
1683642570.545,-40.527,-35.645,-51.270,-52.246
1683642570.546,-65.918,-50.781,-51.758,-88.379
1683642570.550,-61.523,-50.293,-33.691,-75.195
1683642570.554,-40.039,-33.691,-14.160,-25.391
1683642570.558,-23.438,-24.414,-15.137,5.859
1683642570.562,-33.203,-35.156,-36.133,-20.020
1683642570.566,-52.246,-41.992,-37.109,-58.594
1683642570.570,-49.805,-33.203,-17.090,-52.246
1683642570.573,-26.367,-20.996,-4.883,-11.719
1683642570.577,-9.277,-17.578,-13.672,11.719
1683642570.581,-22.949,-35.156,-39.551,-18.555
1683642570.585,-49.805,-44.434,-49.805,-69.824
1683642570.589,-58.105,-43.945,-40.039,-78.613
1683642570.546,-65.918,-50.781,-51.758,-88.379
1683642570.550,-61.523,-50.293,-33.691,-75.195
1683642570.554,-40.039,-33.691,-14.160,-25.391
1683642570.558,-23.438,-24.414,-15.137,5.859
1683642570.562,-33.203,-35.156,-36.133,-20.020
1683642570.566,-52.246,-41.992,-37.109,-58.594
1683642570.570,-49.805,-33.203,-17.090,-52.246
1683642570.573,-26.367,-20.996,-4.883,-11.719
1683642570.577,-9.277,-17.578,-13.672,11.719
1683642570.581,-22.949,-35.156,-39.551,-18.555
1683642570.585,-49.805,-44.434,-49.805,-69.824
1683642570.589,-58.105,-43.945,-40.039,-78.613
1683642571.057,-24.414,-31.738,-34.668,-16.602
1683642571.061,-47.852,-44.922,-42.480,-65.430
1683642571.065,-47.363,-37.598,-26.855,-66.895
1683642571.069,-23.438,-22.461,-17.578,-21.973
1683642571.073,-6.836,-20.508,-26.367,8.301
1683642571.077,-19.043,-31.250,-38.086,-15.137
1683642571.081,-42.480,-33.691,-41.016,-63.965
1683642571.084,-44.434,-35.645,-36.133,-70.801
1683642571.088,-23.926,-30.762,-16.602,-24.902
1683642571.092,-0.488,-16.602,-11.719,15.625
1683642571.096,-0.488,-13.672,-30.273,-1.465
1683642571.100,-27.344,-26.855,-44.922,-54.199
1683642570.546,-65.918,-50.781,-51.758,-88.379
1683642570.550,-61.523,-50.293,-33.691,-75.195
1683642570.554,-40.039,-33.691,-14.160,-25.391
1683642570.558,-23.438,-24.414,-15.137,5.859
1683642570.562,-33.203,-35.156,-36.133,-20.020
1683642570.566,-52.246,-41.992,-37.109,-58.594
1683642570.570,-49.805,-33.203,-17.090,-52.246
1683642570.573,-26.367,-20.996,-4.883,-11.719
1683642570.577,-9.277,-17.578,-13.672,11.719
1683642570.581,-22.949,-35.156,-39.551,-18.555
1683642570.585,-49.805,-44.434,-49.805,-69.824
1683642570.589,-58.105,-43.945,-40.039,-78.613
1683642570.591,-31.250,-36.133,-23.438,-30.273
1683642570.595,-14.648,-29.297,-19.531,4.395
1683642570.599,-22.461,-30.273,-35.645,-17.578
1683642570.603,-41.992,-37.598,-42.480,-63.965
1683642570.607,-49.805,-43.457,-29.785,-76.660
1683642570.611,-32.227,-31.738,-11.230,-38.574
1683642570.615,-19.531,-11.230,-6.836,-1.465
1683642570.618,-27.832,-20.508,-31.250,-11.719
1683642570.622,-50.293,-47.363,-48.828,-60.059
1683642570.626,-62.012,-49.316,-37.109,-83.496
1683642570.630,-45.410,-30.273,-14.648,-45.898
1683642570.634,-20.508,-21.484,-10.254,1.953
1683642570.591,-31.250,-36.133,-23.438,-30.273
1683642570.595,-14.648,-29.297,-19.531,4.395
1683642570.599,-22.461,-30.273,-35.645,-17.578
1683642570.603,-41.992,-37.598,-42.480,-63.965
1683642570.607,-49.805,-43.457,-29.785,-76.660
1683642570.611,-32.227,-31.738,-11.230,-38.574
1683642570.615,-19.531,-11.230,-6.836,-1.465
1683642570.618,-27.832,-20.508,-31.250,-11.719
1683642570.622,-50.293,-47.363,-48.828,-60.059
1683642570.626,-62.012,-49.316,-37.109,-83.496
1683642570.630,-45.410,-30.273,-14.648,-45.898
1683642570.634,-20.508,-21.484,-10.254,1.953
1683642570.636,-19.043,-26.855,-26.367,-1.465
1683642570.640,-40.527,-43.457,-41.504,-50.781
1683642570.644,-57.129,-44.434,-37.598,-77.637
1683642570.648,-46.875,-32.227,-22.461,-52.246
1683642570.652,-27.344,-26.855,-20.020,-15.625
1683642570.656,-25.391,-19.531,-28.320,-7.812
1683642570.660,-41.016,-22.461,-37.598,-41.016
1683642570.663,-56.152,-35.645,-40.039,-76.172
1683642570.667,-53.711,-45.898,-31.738,-59.082
1683642570.671,-31.738,-34.668,-16.113,-7.324
1683642570.675,-23.438,-23.438,-21.484,10.254
1683642570.679,-36.621,-34.668,-39.551,-30.273
1683642570.681,-57.617,-40.527,-39.062,-70.801
1683642570.685,-58.594,-34.180,-27.832,-52.734
1683642570.689,-27.344,-17.090,-10.742,-0.977
1683642570.693,-10.254,-7.324,-13.672,19.043
1683642570.697,-34.180,-26.855,-39.062,-21.973
1683642570.701,-62.500,-36.621,-41.016,-69.336
1683642570.705,-50.781,-24.414,-23.438,-56.641
1683642570.708,-15.625,-19.531,-21.973,-7.324
1683642570.712,4.395,-14.648,-32.227,21.973
1683642570.716,-14.160,-24.414,-37.109,1.465
1683642570.720,-57.617,-47.852,-33.691,-53.223
1683642570.724,-69.336,-45.898,-20.020,-64.941
1683642570.726,-34.668,-27.344,-4.395,-13.672
1683642570.730,-17.578,-26.367,-8.789,17.578
1683642570.734,-36.133,-32.227,-27.344,-19.531
1683642570.738,-54.688,-37.109,-35.156,-64.453
1683642570.742,-53.711,-45.898,-26.855,-66.406
1683642570.746,-41.504,-40.527,-5.371,-32.227
1683642570.750,-35.156,-33.691,-2.930,-7.812
1683642570.753,-37.598,-43.945,-27.832,-26.855
1683642570.757,-55.664,-59.570,-35.645,-67.871
1683642570.761,-70.312,-63.477,-21.484,-83.008
1683642570.765,-56.641,-45.898,-7.324,-52.734
1683642570.769,-33.203,-35.156,-13.184,-11.230
1683642570.771,-32.227,-42.480,-31.250,-17.578
1683642570.775,-53.223,-56.152,-40.039,-64.453
1683642570.779,-59.082,-52.246,-29.785,-79.590
1683642570.783,-37.598,-38.574,-14.160,-42.969
1683642570.787,-15.625,-33.203,-13.672,5.371
1683642570.791,-13.672,-32.227,-23.438,4.395
1683642570.795,-39.551,-38.574,-31.738,-44.922
1683642570.798,-58.105,-51.270,-31.250,-72.754
1683642570.802,-44.434,-47.363,-20.508,-43.945
1683642570.806,-21.973,-33.691,-12.207,0.977
1683642570.810,-19.043,-29.785,-22.949,3.906
1683642570.814,-38.574,-39.551,-40.039,-40.527
