timestamps,TP9,AF7,AF8,TP10,Right AUX
1680451804.247,-51.758,-38.086,-36.621,-44.922,0.000
1680451804.251,-37.598,-41.504,-35.645,-41.504,0.000
1680451804.254,-22.949,-43.945,-36.621,-34.180,0.000
1680451804.258,-18.555,-40.527,-40.039,-37.598,0.000
1680451804.262,-14.648,-37.109,-35.156,-28.320,0.000
1680451804.266,-21.973,-37.109,-31.738,-20.996,0.000
1680451804.270,-20.508,-44.434,-37.598,-20.020,0.000
1680451804.274,-10.742,-48.828,-43.457,-12.695,0.000
1680451804.278,-1.465,-42.480,-27.344,-11.719,0.000
1680451804.282,-5.859,-42.480,-7.812,-7.812,0.000
1680451804.286,-21.484,-42.480,-27.832,-4.395,0.000
1680451804.290,-20.020,-42.480,-36.133,0.488,0.000
1680451804.294,-13.672,-43.945,-28.809,0.977,0.000
1680451804.297,-20.508,-40.039,-34.180,-20.508,0.000
1680451804.301,-35.156,-35.156,-40.527,-40.039,0.000
1680451804.305,-50.781,-34.180,-43.945,-50.293,0.000
1680451804.309,-50.293,-32.715,-40.039,-46.875,0.000
1680451804.313,-31.738,-31.738,-38.086,-24.902,0.000
1680451804.317,-27.344,-38.086,-36.133,-25.391,0.000
1680451804.321,-52.734,-36.133,-42.480,-53.711,0.000
1680451804.325,-78.613,-31.738,-29.297,-68.848,0.000
1680451804.329,-63.965,-32.227,-20.508,-53.223,0.000
1680451804.333,-34.668,-29.297,-39.551,-36.133,0.000
1680451804.337,-35.645,-33.203,-42.969,-41.016,0.000
1680451804.340,-49.805,-34.668,-41.016,-51.758,0.000
1680451804.344,-59.082,-27.832,-41.504,-54.199,0.000
1680451804.348,-43.457,-24.414,-41.992,-39.062,0.000
1680451804.352,-28.809,-25.391,-45.410,-30.762,0.000
1680451804.356,-34.180,-25.391,-41.016,-39.551,0.000
1680451804.360,-37.109,-25.879,-37.598,-41.504,0.000
1680451804.364,-50.781,-42.969,-36.621,-39.062,0.000
1680451804.368,-57.129,-48.340,-36.621,-32.227,0.000
1680451804.372,-46.875,-35.645,-40.527,-41.016,0.000
1680451804.376,-30.273,-24.902,-41.504,-47.852,0.000
1680451804.379,-31.738,-22.949,-42.969,-43.945,0.000
1680451804.383,-56.641,-38.574,-44.922,-53.223,0.000
1680451804.387,-53.223,-42.969,-48.828,-52.246,0.000
1680451804.391,-21.484,-34.180,-42.969,-30.762,0.000
1680451804.395,-28.320,-31.250,-41.992,-41.504,0.000
1680451804.399,-51.270,-29.297,-43.945,-54.688,0.000
1680451804.403,-46.387,-28.320,-40.527,-38.574,0.000
1680451804.407,-29.297,-23.438,-41.504,-27.832,0.000
1680451804.411,-25.391,-28.809,-36.621,-20.996,0.000
1680451804.415,-38.086,-41.504,-4.395,-26.855,0.000
1680451804.419,-43.457,-40.039,-1.465,-39.551,0.000
1680451804.422,-64.453,-26.855,-33.691,-65.430,0.000
1680451804.426,-57.617,-26.367,-34.668,-59.570,0.000
1680451804.430,-22.949,-26.855,-30.762,-25.879,0.000
1680451804.434,-15.625,-28.809,-34.668,-29.297,0.000
1680451804.438,-26.367,-25.879,-36.621,-45.410,0.000
1680451804.442,-22.461,-25.391,-31.250,-45.898,0.000
1680451804.446,-21.973,-34.180,-28.320,-40.527,0.000
1680451804.450,-9.277,-26.855,-31.738,-23.438,0.000
1680451804.454,8.301,-21.484,-37.598,-8.789,0.000
1680451804.458,-8.301,-31.250,-26.855,-14.648,0.000
1680451804.462,-42.969,-43.945,0.977,-31.738,0.000
1680451804.465,-50.293,-41.504,-8.301,-23.438,0.000
1680451804.469,-37.109,-32.227,-23.438,-14.648,0.000
1680451804.473,-42.480,-31.738,-24.414,-32.715,0.000
1680451804.477,-50.781,-31.250,-27.832,-38.086,0.000
1680451804.481,-45.898,-34.180,-26.367,-34.180,0.000
1680451804.485,-45.898,-39.551,-30.273,-35.156,0.000
1680451804.489,-39.551,-37.109,-34.180,-31.250,0.000
1680451804.493,-26.367,-41.016,-30.762,-27.832,0.000
1680451804.497,-39.551,-52.734,-29.297,-36.133,0.000
1680451804.501,-53.711,-50.781,-33.691,-43.457,0.000
1680451804.504,-59.570,-52.734,-31.250,-45.410,0.000
1680451804.508,-60.547,-50.781,-25.391,-43.945,0.000
1680451804.512,-34.180,-37.109,-29.297,-31.738,0.000
1680451804.516,-9.277,-38.574,-34.668,-26.367,0.000
1680451804.520,-19.531,-44.434,-32.715,-35.645,0.000
1680451804.524,-48.828,-50.781,-32.715,-46.387,0.000
1680451804.528,-53.223,-54.688,-34.668,-34.180,0.000
1680451804.532,-38.574,-41.992,-34.668,-23.438,0.000
1680451804.536,-30.273,-33.691,-32.227,-29.297,0.000
1680451804.540,-29.785,-33.691,-33.203,-30.762,0.000
1680451804.544,-34.180,-36.133,-36.133,-30.273,0.000
1680451804.547,-35.156,-31.250,-31.738,-22.949,0.000
1680451804.551,-19.531,-31.738,-7.324,-11.719,0.000
1680451804.555,-13.672,-40.039,-16.602,-15.625,0.000
1680451804.559,-24.902,-39.551,-36.621,-20.020,0.000
1680451804.563,-27.344,-36.621,-33.203,-20.508,0.000
1680451804.567,-27.344,-39.062,-29.297,-25.879,0.000
1680451804.571,-36.621,-44.922,-31.738,-24.414,0.000
1680451804.575,-40.039,-48.828,-34.180,-22.949,0.000
1680451804.579,-45.898,-44.922,-35.156,-30.762,0.000
1680451804.583,-51.270,-38.574,-37.109,-35.156,0.000
1680451804.587,-41.992,-39.551,-34.180,-24.414,0.000
1680451804.590,-37.109,-41.016,-37.109,-18.066,0.000
1680451804.594,-38.574,-39.551,-21.484,-28.320,0.000
1680451804.598,-32.227,-41.504,-15.625,-30.273,0.000
1680451804.602,-35.156,-39.062,-35.645,-24.902,0.000
1680451804.606,-32.715,-36.133,-34.668,-15.137,0.000
1680451804.610,-19.043,-29.785,-29.785,-6.836,0.000
1680451804.614,-18.555,-29.785,-30.762,-10.254,0.000
1680451804.618,-20.020,-42.969,-37.598,-12.695,0.000
1680451804.622,-19.531,-45.410,-37.598,-11.230,0.000
1680451804.626,-24.902,-36.133,-26.855,-6.836,0.000
1680451804.629,-24.902,-32.715,-28.809,-4.883,0.000
1680451804.633,-20.996,-33.203,-37.109,-14.648,0.000
1680451804.637,-20.996,-33.203,-32.227,-20.508,0.000
1680451804.641,-36.621,-32.715,-25.879,-20.996,0.000
1680451804.645,-42.969,-36.621,-32.227,-23.926,0.000
1680451804.649,-35.645,-39.551,-38.086,-19.531,0.000
1680451804.653,-30.762,-35.156,-22.461,-22.461,0.000
1680451804.657,-32.715,-32.227,-8.789,-24.902,0.000
1680451804.661,-45.410,-31.250,-28.809,-25.879,0.000
1680451804.665,-58.105,-33.691,-39.551,-36.621,0.000
1680451804.669,-58.105,-32.715,-30.273,-28.809,0.000
1680451804.672,-46.387,-24.902,-23.438,-16.113,0.000
1680451804.676,-38.086,-25.879,-29.297,-20.508,0.000
1680451804.680,-40.039,-31.738,-32.715,-20.508,0.000
1680451804.684,-41.992,-38.086,-31.250,-18.555,0.000
1680451804.688,-28.320,-34.668,-29.297,-10.254,0.000
1680451804.692,-14.160,-29.785,-26.855,0.000,0.000
1680451804.696,-11.230,-26.855,-28.320,-1.465,0.000
1680451804.700,-23.926,-24.414,-3.906,-11.230,0.000
1680451804.704,-30.762,-31.250,3.906,-17.090,0.000
1680451804.708,-31.250,-31.250,-27.832,-13.184,0.000
1680451804.711,-23.926,-32.715,-28.320,-13.672,0.000
1680451804.715,-18.066,-38.086,-25.391,-23.926,0.000
1680451804.719,-24.902,-35.156,-29.785,-31.250,0.000
1680451804.723,-33.691,-30.273,-33.691,-32.227,0.000
1680451804.727,-35.156,-33.691,-36.133,-35.156,0.000
1680451804.731,-34.180,-33.691,-33.203,-39.551,0.000
1680451804.735,-32.715,-30.273,-33.203,-40.527,0.000
1680451804.739,-32.227,-30.273,-37.109,-45.898,0.000
1680451804.743,-46.875,-36.133,-36.621,-52.734,0.000
1680451804.747,-56.152,-37.598,-23.438,-42.969,0.000
1680451804.751,-38.086,-26.855,-23.438,-32.715,0.000
1680451804.754,-24.902,-23.926,-28.809,-32.715,0.000
1680451804.758,-25.391,-27.344,-27.344,-31.738,0.000
1680451804.762,-32.227,-31.250,-27.344,-28.320,0.000
1680451804.766,-39.062,-34.180,-31.738,-25.879,0.000
1680451804.770,-30.273,-40.039,-32.227,-17.578,0.000
1680451804.774,-7.812,-39.551,-30.273,-2.930,0.000
1680451804.778,0.000,-23.926,-40.039,-11.230,0.000
1680451804.782,-18.066,-26.367,-38.574,-20.508,0.000
1680451804.786,-22.949,-38.086,-24.414,-10.742,0.000
1680451804.790,-23.438,-30.273,-21.973,-24.902,0.000
1680451804.794,-28.809,-22.949,-26.367,-41.992,0.000
1680451804.797,-6.836,-29.297,-24.902,-15.137,0.000
1680451804.801,-13.672,-30.273,-24.902,-20.508,0.000
1680451804.805,-59.570,-24.414,-37.109,-66.895,0.000
1680451804.809,-53.223,-30.273,-34.180,-59.570,0.000
1680451804.813,-16.602,-32.227,-27.344,-17.578,0.000
1680451804.817,-23.926,-17.578,-29.297,-33.203,0.000
1680451804.821,-44.434,-15.137,-31.250,-61.523,0.000
1680451804.825,-42.969,-26.855,-35.645,-51.270,0.000
1680451804.829,-29.297,-27.832,-37.109,-33.203,0.000
1680451804.833,-31.738,-32.715,-33.691,-26.367,0.000
1680451804.836,-43.945,-37.598,-22.949,-40.039,0.000
1680451804.840,-62.012,-26.855,-28.809,-48.340,0.000
1680451804.844,-81.543,-24.414,-40.039,-52.734,0.000
1680451804.848,-58.105,-29.785,-38.086,-38.086,0.000
1680451804.852,-32.227,-25.879,-33.691,-19.531,0.000
1680451804.856,-25.391,-15.137,-32.715,-29.785,0.000
1680451804.860,-40.527,-17.578,-40.527,-46.875,0.000
1680451804.864,-43.457,-21.484,-42.480,-47.363,0.000
1680451804.868,-23.926,-17.090,-31.250,-29.297,0.000
1680451804.872,-25.879,-25.879,-20.020,-26.367,0.000
1680451804.876,-29.785,-27.832,-34.668,-38.086,0.000
1680451804.879,-43.457,-23.438,-17.090,-47.363,0.000
1680451804.883,-67.871,-29.297,-1.953,-54.199,0.000
1680451804.887,-48.828,-32.715,-30.762,-37.598,0.000
1680451804.891,-41.016,-28.809,-29.785,-35.645,0.000
1680451804.895,-74.219,-25.879,-33.691,-79.102,0.000
1680451804.899,-72.266,-28.320,-42.480,-79.590,0.000
1680451804.903,-44.434,-31.738,-42.480,-41.992,0.000
1680451804.907,-34.668,-27.832,-35.156,-24.414,0.000
1680451804.911,-38.574,-20.508,-33.203,-33.203,0.000
1680451804.915,-60.059,-21.484,-40.039,-55.664,0.000
1680451804.919,-73.730,-22.461,-43.457,-53.711,0.000
1680451804.922,-61.523,-20.020,-37.109,-32.715,0.000
1680451804.926,-58.594,-28.320,-16.113,-23.926,0.000
1680451804.930,-62.500,-32.227,-13.184,-22.461,0.000
