timestamps,TP9,AF7,AF8,TP10,Right AUX
1680448956.185,-28.809,-32.227,-37.109,-33.691,0.000
1680448956.189,-43.457,-30.762,-36.621,-24.414,0.000
1680448956.193,-26.367,-29.297,-33.691,-21.973,0.000
1680448956.196,-19.043,-26.367,-26.367,-20.020,0.000
1680448956.200,10.742,-22.949,-24.902,-24.414,0.000
1680448956.204,-14.648,-26.367,-19.531,-37.109,0.000
1680448956.208,-75.684,-33.203,-11.719,-37.109,0.000
1680448956.212,-49.316,-31.250,-28.320,-24.414,0.000
1680448956.216,-13.184,-26.855,-33.691,-12.695,0.000
1680448956.220,-11.719,-24.414,-25.879,-12.695,0.000
1680448956.224,-24.902,-24.902,-26.367,-24.902,0.000
1680448956.228,-51.758,-28.809,-38.086,-44.434,0.000
1680448956.232,-56.641,-30.273,-36.133,-39.062,0.000
1680448956.236,-44.434,-30.762,-33.203,-22.949,0.000
1680448956.239,-42.969,-26.855,-31.738,-5.859,0.000
1680448956.243,-21.484,-23.926,-25.391,16.113,0.000
1680448956.247,-11.230,-24.902,-28.809,-18.066,0.000
1680448956.251,-23.926,-27.344,-27.832,-60.547,0.000
1680448956.255,-14.648,-32.715,-29.785,-36.133,0.000
1680448956.259,-6.348,-28.809,-33.691,-12.695,0.000
1680448956.263,-21.484,-22.461,-26.367,-8.301,0.000
1680448956.267,-22.461,-25.391,-20.996,-17.090,0.000
1680448956.271,-27.344,-26.367,-30.273,-47.852,0.000
1680448956.275,-41.016,-28.320,-39.062,-50.781,0.000
1680448956.278,-40.527,-29.785,-36.133,-32.227,0.000
1680448956.282,-26.367,-30.273,-32.715,-28.809,0.000
1680448956.286,-21.484,-31.250,-38.574,-33.691,0.000
1680448956.290,-22.949,-30.273,-43.457,-36.133,0.000
1680448956.294,-27.344,-34.668,-35.156,-28.320,0.000
1680448956.298,-33.203,-30.273,-27.832,-11.719,0.000
1680448956.302,-28.320,-24.414,-28.320,-1.465,0.000
1680448956.306,-13.672,-25.391,-33.203,-13.672,0.000
1680448956.310,-16.113,-32.227,-21.484,-41.016,0.000
1680448956.314,-32.715,-40.527,-15.625,-50.293,0.000
1680448956.318,-36.133,-37.598,-30.762,-39.551,0.000
1680448956.321,-19.043,-29.297,-27.344,-28.809,0.000
1680448956.325,2.441,-30.273,-25.391,-25.879,0.000
1680448956.329,-18.555,-36.621,-32.715,-39.551,0.000
1680448956.333,-59.570,-36.621,-32.715,-45.898,0.000
1680448956.337,-60.059,-28.320,-28.320,-10.742,0.000
1680448956.341,-42.969,-22.949,-31.250,-16.113,0.000
1680448956.345,-34.668,-19.531,-32.227,-29.297,0.000
1680448956.349,-33.691,-26.367,-41.504,-29.785,0.000
1680448956.353,-17.578,-27.832,-43.945,-30.273,0.000
