timestamps,TP9,AF7,AF8,TP10,Right AUX
1680451119.209,-39.551,-41.016,-35.645,-19.043,0.000
1680451119.213,-44.434,-41.504,-51.270,-42.969,0.000
1680451119.217,-40.039,-40.039,-44.434,-32.227,0.000
1680451119.221,-40.527,-36.621,-27.344,-23.438,0.000
1680451119.225,-50.781,-33.691,-1.465,-30.762,0.000
1680451119.229,-56.641,-35.645,-6.836,-48.828,0.000
1680451119.233,-42.969,-28.320,-18.066,-47.852,0.000
1680451119.237,-36.621,-27.344,-23.926,-35.156,0.000
1680451119.241,-42.969,-32.715,-26.367,-31.738,0.000
1680451119.244,-46.875,-33.691,-29.297,-40.039,0.000
1680451119.248,-51.758,-34.180,-34.180,-53.223,0.000
1680451119.252,-49.805,-32.227,-38.086,-55.664,0.000
1680451119.256,-40.039,-32.715,-32.227,-41.992,0.000
1680451119.260,-39.062,-37.109,-27.344,-30.762,0.000
1680451119.264,-33.203,-31.250,-25.879,-24.902,0.000
1680451119.268,-33.203,-31.738,-30.762,-29.297,0.000
1680451119.272,-30.762,-36.621,-35.645,-43.945,0.000
1680451119.276,-28.320,-28.320,-34.180,-38.574,0.000
1680451119.280,-29.297,-23.438,-26.855,-23.438,0.000
1680451119.284,-30.273,-28.320,-29.297,-23.438,0.000
1680451119.288,-37.109,-31.250,-37.109,-29.297,0.000
1680451119.291,-35.156,-28.809,-34.668,-30.273,0.000
1680451119.295,-32.227,-26.855,-29.297,-22.949,0.000
1680451119.299,-39.062,-27.344,-23.438,-22.461,0.000
1680451119.303,-44.434,-36.133,-30.762,-27.344,0.000
1680451119.307,-43.945,-43.945,-51.758,-34.180,0.000
1680451119.311,-44.434,-39.062,-47.363,-42.480,0.000
1680451119.315,-38.574,-30.762,-35.645,-34.668,0.000
1680451119.319,-30.273,-26.367,-30.273,-20.508,0.000
1680451119.323,-28.809,-20.508,-20.020,-22.949,0.000
1680451119.327,-14.648,-20.508,-18.066,-23.438,0.000
1680451119.331,-29.785,-30.762,-22.461,-40.527,0.000
1680451119.334,-59.570,-44.922,-29.297,-55.176,0.000
1680451119.338,-41.504,-47.363,-24.414,-25.879,0.000
1680451119.342,-30.273,-41.016,-16.602,-19.531,0.000
1680451119.346,-27.344,-36.133,-17.578,-39.062,0.000
1680451119.350,-29.785,-33.203,-18.066,-38.086,0.000
1680451119.354,-41.992,-33.203,-19.043,-29.785,0.000
1680451119.358,-38.086,-37.109,-20.020,-22.949,0.000
1680451119.362,-38.086,-39.062,-22.461,-14.648,0.000
1680451119.366,-36.621,-37.598,-34.180,-21.973,0.000
1680451119.370,-26.855,-35.156,-32.715,-30.762,0.000
1680451119.374,-23.438,-36.621,-16.602,-14.648,0.000
1680451119.377,-29.785,-41.016,-32.715,-12.695,0.000
1680451119.381,-42.969,-50.781,-44.434,-31.738,0.000
1680451119.385,-35.645,-54.199,-30.273,-41.016,0.000
1680451119.389,-29.297,-44.922,-21.973,-49.316,0.000
1680451119.393,-19.043,-35.156,-12.695,-51.758,0.000
1680451119.397,-28.809,-36.133,-25.391,-41.016,0.000
1680451119.401,-39.062,-34.180,-28.320,-17.578,0.000
1680451119.405,-29.297,-29.297,-20.508,-19.531,0.000
1680451119.409,-43.457,-32.715,-28.320,-52.734,0.000
1680451119.413,-43.945,-35.156,-32.227,-52.246,0.000
1680451119.416,-34.180,-30.273,-40.527,-28.809,0.000
1680451119.420,-33.691,-19.531,-45.898,-14.160,0.000
1680451119.424,-46.387,-27.344,-28.809,-22.949,0.000
1680451119.428,-43.945,-30.273,-30.762,-43.945,0.000
1680451119.432,-28.809,-23.926,-39.551,-51.758,0.000
1680451119.436,-27.832,-25.879,-21.484,-42.480,0.000
1680451119.440,-28.809,-29.297,-26.367,-31.738,0.000
1680451119.444,-28.809,-26.367,-37.109,-31.738,0.000
1680451119.448,-35.645,-28.320,-21.973,-42.969,0.000
1680451119.452,-25.879,-29.785,-19.531,-34.180,0.000
1680451119.456,-12.695,-26.855,-28.809,-13.672,0.000
1680451119.459,-20.508,-26.855,-24.414,-18.066,0.000
1680451119.463,-31.738,-29.297,-35.156,-25.879,0.000
1680451119.467,-36.133,-26.367,-34.180,-40.039,0.000
1680451119.471,-42.969,-32.715,-8.789,-45.898,0.000
1680451119.475,-39.551,-41.504,-4.883,-39.062,0.000
1680451119.479,-29.785,-36.133,-14.160,-37.109,0.000
1680451119.483,-24.902,-28.809,-17.578,-29.297,0.000
1680451119.487,-27.832,-25.879,-25.391,-27.344,0.000
1680451119.491,-20.996,-27.832,-36.621,-32.715,0.000
1680451119.495,-15.625,-33.691,-29.785,-35.156,0.000
1680451119.499,-26.367,-36.621,-20.508,-24.902,0.000
1680451119.502,-26.855,-25.879,-23.926,-24.902,0.000
1680451119.506,-13.184,-19.531,-22.461,-30.273,0.000
1680451119.510,-10.254,-14.648,-19.531,-28.809,0.000
1680451119.514,-21.973,-18.555,-22.461,-35.645,0.000
1680451119.518,-28.320,-28.809,-20.020,-38.086,0.000
1680451119.522,-30.762,-29.297,-20.508,-31.250,0.000
1680451119.526,-35.645,-30.762,-18.555,-27.344,0.000
1680451119.530,-40.527,-30.273,-24.902,-43.457,0.000
1680451119.534,-34.668,-26.367,-34.668,-53.711,0.000
1680451119.538,-22.949,-23.438,-30.762,-25.879,0.000
1680451119.541,-25.879,-31.738,-20.508,-4.395,0.000
1680451119.545,-23.438,-37.109,-25.879,-25.879,0.000
1680451119.549,-15.625,-23.926,-38.086,-33.691,0.000
1680451119.553,-8.789,-20.996,-40.039,-21.973,0.000
1680451119.557,-26.855,-34.180,-31.250,-35.645,0.000
1680451119.561,-50.781,-47.363,-23.926,-54.199,0.000
1680451119.565,-44.434,-40.527,-25.391,-50.781,0.000
1680451119.569,-35.156,-31.250,-28.320,-51.270,0.000
1680451119.573,-38.086,-28.809,-37.598,-39.551,0.000
1680451119.577,-40.527,-27.344,-40.039,-20.020,0.000
1680451119.580,-45.898,-36.133,-33.691,-27.832,0.000
1680451119.584,-40.527,-43.945,-36.133,-46.875,0.000
1680451119.588,-29.785,-42.969,-43.457,-61.035,0.000
1680451119.592,-28.320,-38.574,-35.156,-40.527,0.000
1680451119.596,-14.648,-25.391,-33.691,-8.789,0.000
1680451119.600,-19.531,-17.090,-44.922,-25.879,0.000
1680451119.604,-40.527,-19.531,-34.668,-54.199,0.000
1680451119.608,-43.457,-22.949,-50.293,-68.359,0.000
1680451119.612,-33.203,-27.344,-62.500,-51.270,0.000
1680451119.616,-29.785,-31.250,-23.926,-29.785,0.000
1680451119.619,-43.457,-38.574,-6.348,-35.156,0.000
1680451119.623,-44.922,-34.668,-12.695,-41.992,0.000
1680451119.627,-35.156,-25.391,-24.902,-62.012,0.000
1680451119.631,-33.203,-25.391,-30.762,-61.035,0.000
1680451119.635,-24.902,-27.832,-24.902,-34.668,0.000
1680451119.639,-20.020,-27.832,-26.367,-6.836,0.000
