timestamps,TP9,AF7,AF8,TP10,Right AUX
1680449283.965,-53.223,-39.551,-27.832,-49.805,0.000
1680449283.969,-51.270,-39.062,-32.227,-48.340,0.000
1680449283.973,-42.969,-34.180,-31.738,-48.828,0.000
1680449283.977,-44.434,-30.762,-26.367,-38.574,0.000
1680449283.981,-54.199,-30.273,-27.344,-27.832,0.000
1680449283.985,-49.805,-27.832,-25.879,-23.438,0.000
1680449283.989,-54.688,-30.273,-18.066,-39.551,0.000
1680449283.992,-58.105,-31.738,-21.973,-51.270,0.000
1680449283.996,-52.734,-29.785,-29.785,-45.898,0.000
1680449284.000,-51.270,-32.227,-25.879,-53.223,0.000
1680449284.004,-47.363,-28.809,-22.949,-61.035,0.000
1680449284.008,-26.855,-27.344,-28.809,-50.293,0.000
1680449284.012,-25.391,-32.715,-33.691,-39.062,0.000
1680449284.016,-32.715,-37.598,-34.668,-29.785,0.000
1680449284.020,-27.344,-37.109,-34.180,-22.949,0.000
1680449284.024,-32.227,-36.133,-30.762,-19.043,0.000
1680449284.028,-40.039,-37.109,-27.832,-15.625,0.000
1680449284.031,-30.273,-35.156,-25.391,-23.926,0.000
1680449284.035,-31.738,-32.715,-19.531,-26.367,0.000
1680449284.039,-38.086,-30.273,-21.484,-12.695,0.000
1680449284.043,-48.340,-29.785,-21.484,-6.836,0.000
1680449284.047,-53.223,-30.762,-19.043,-14.160,0.000
1680449284.051,-42.969,-33.691,-27.832,-34.668,0.000
1680449284.055,-58.594,-36.133,-33.691,-37.598,0.000
1680449284.059,-57.129,-36.621,-29.785,-25.879,0.000
1680449284.063,-39.062,-36.133,-25.391,-35.156,0.000
1680449284.067,-51.758,-33.203,-21.484,-48.828,0.000
1680449284.071,-68.359,-30.273,-24.414,-61.523,0.000
1680449284.074,-49.805,-34.180,-35.645,-58.105,0.000
1680449284.078,-36.621,-34.180,-30.762,-47.363,0.000
1680449284.082,-28.320,-31.250,-25.391,-41.504,0.000
1680449284.086,-22.949,-27.832,-29.785,-38.574,0.000
1680449284.090,-19.043,-32.227,-27.344,-25.391,0.000
1680449284.094,0.000,-36.621,-18.066,-0.977,0.000
1680449284.098,-23.438,-30.762,-21.484,-9.277,0.000
1680449284.102,-39.551,-26.855,-26.367,-20.996,0.000
1680449284.106,-24.414,-26.367,-25.391,-8.789,0.000
1680449284.110,-22.461,-24.414,-25.879,-6.836,0.000
1680449284.114,-25.391,-18.555,-22.949,-13.184,0.000
1680449284.117,-22.461,-17.090,-18.066,3.418,0.000
1680449284.121,-7.812,-18.066,-18.066,4.395,0.000
1680449284.125,-16.602,-23.926,-22.461,-4.883,0.000
1680449284.129,-34.180,-30.273,-28.320,-13.184,0.000
1680449284.133,-26.367,-32.715,-33.691,-21.973,0.000
1680449284.137,-27.344,-31.738,-27.832,-6.348,0.000
1680449284.141,-27.344,-24.902,-22.461,-16.113,0.000
1680449284.145,-22.949,-24.414,-25.879,-45.410,0.000
1680449284.149,-20.996,-24.902,-25.879,-62.500,0.000
1680449284.153,-30.273,-22.461,-27.832,-54.688,0.000
1680449284.156,-26.855,-27.832,-27.344,-21.484,0.000
1680449284.160,-20.996,-32.227,-24.414,-5.371,0.000
1680449284.164,-12.207,-32.227,-28.809,-35.645,0.000
1680449284.168,-27.344,-31.738,-26.855,-48.828,0.000
1680449284.172,-42.969,-30.762,-20.996,-20.996,0.000
1680449284.176,-18.555,-25.391,-18.555,-14.648,0.000
1680449284.180,-13.672,-26.367,-19.531,-46.875,0.000
1680449284.184,-27.832,-31.250,-19.043,-53.223,0.000
1680449284.188,-34.180,-36.133,-25.391,-45.898,0.000
1680449284.192,-33.203,-38.086,-27.344,-30.762,0.000
1680449284.196,-27.832,-33.203,-25.879,-21.484,0.000
1680449284.199,-6.836,-30.273,-25.879,-29.785,0.000
1680449284.203,-7.812,-35.156,-29.785,-30.762,0.000
1680449284.207,-42.480,-40.039,-34.668,-32.715,0.000
1680449284.211,-31.738,-35.156,-34.180,-35.645,0.000
1680449284.215,-28.320,-33.203,-31.738,-40.527,0.000
1680449284.219,-40.039,-37.109,-31.250,-28.320,0.000
