timestamps,TP9,AF7,AF8,TP10,Right AUX
1680450271.480,-949.707,-21.973,-30.762,-954.590,0.000
1680450271.484,950.684,-24.414,-28.320,946.777,0.000
1680450271.488,937.012,-19.531,-26.855,942.383,0.000
1680450271.492,978.516,-26.855,-25.879,985.352,0.000
1680450271.496,948.242,-31.738,-25.391,919.434,0.000
1680450271.500,934.082,-28.809,-28.320,-991.699,0.000
1680450271.504,-937.988,-32.715,-28.809,836.914,0.000
1680450271.508,-82.031,-41.016,-31.250,-451.172,0.000
1680450271.512,-1000.000,-43.945,-30.273,-1000.000,0.000
1680450271.516,-1000.000,-39.551,-18.555,-685.547,0.000
1680450271.519,35.156,-31.738,-25.391,600.098,0.000
1680450271.523,-770.996,-26.855,-29.785,-847.168,0.000
1680450271.527,149.902,-33.691,-21.484,25.391,0.000
1680450271.531,-1000.000,-42.480,-27.344,-1000.000,0.000
1680450271.535,-1000.000,-39.062,-29.785,-821.289,0.000
1680450271.539,-2.930,-30.762,-29.785,455.566,0.000
1680450271.543,-799.316,-29.297,-29.785,-795.410,0.000
1680450271.547,500.000,-30.273,-22.949,198.242,0.000
1680450271.551,-819.824,-34.180,-25.391,-978.516,0.000
1680450271.555,-1000.000,-35.645,-31.738,-1000.000,0.000
1680450271.559,-351.074,-32.715,-21.484,-166.992,0.000
1680450271.562,-885.254,-27.832,-20.020,-840.332,0.000
1680450271.566,191.895,-33.203,-28.320,20.996,0.000
1680450271.570,-1000.000,-35.645,-21.484,-1000.000,0.000
1680450271.574,-974.121,-32.715,-20.508,-961.914,0.000
1680450271.578,-973.145,-35.156,-27.832,-982.910,0.000
1680450271.582,-1000.000,-35.645,-33.203,-1000.000,0.000
1680450271.586,-1000.000,-36.621,-29.785,-1000.000,0.000
1680450271.590,-927.246,-37.598,-33.691,-932.129,0.000
1680450271.594,-1000.000,-34.180,-31.250,-1000.000,0.000
1680450271.598,-626.465,-27.344,-26.855,-412.598,0.000
1680450271.601,883.301,-20.996,-29.297,-884.766,0.000
1680450271.605,957.031,-22.949,-20.020,449.219,0.000
1680450271.609,-470.215,-27.344,-21.973,-924.316,0.000
1680450271.613,-1000.000,-28.809,-22.949,-1000.000,0.000
1680450271.617,-1000.000,-30.762,-19.531,-791.504,0.000
1680450271.621,88.379,-25.879,-22.461,669.922,0.000
1680450271.625,-873.535,-21.484,-27.344,699.707,0.000
1680450271.629,-234.863,-24.902,-27.832,-787.598,0.000
1680450271.633,-1000.000,-24.414,-21.484,-1000.000,0.000
1680450271.637,-585.938,-27.344,-27.832,-301.270,0.000
1680450271.641,707.520,-19.531,-30.762,905.273,0.000
1680450271.644,-853.027,-19.531,-29.785,-892.578,0.000
1680450271.648,507.324,-36.133,-26.367,231.934,0.000
1680450271.652,-1000.000,-48.828,-24.414,-1000.000,0.000
1680450271.656,-536.621,-34.180,-25.391,-266.602,0.000
1680450271.660,892.578,-19.531,-23.926,980.957,0.000
1680450271.664,-922.852,-25.391,-34.668,-915.527,0.000
1680450271.668,652.832,-27.344,-36.621,280.762,0.000
1680450271.672,-925.293,-35.645,-32.715,-1000.000,0.000
1680450271.676,-572.754,-33.203,-32.227,-260.742,0.000
1680450271.680,964.355,-21.973,-26.367,-992.188,0.000
1680450271.684,936.035,-30.273,-23.926,983.398,0.000
1680450271.687,-951.660,-37.109,-23.926,795.898,0.000
1680450271.691,113.281,-42.480,-26.367,-539.062,0.000
1680450271.695,-1000.000,-45.410,-24.902,-992.676,0.000
1680450271.699,-128.418,-34.668,-30.273,432.129,0.000
1680450271.703,-788.086,-26.855,-37.598,-811.035,0.000
1680450271.707,189.941,-35.156,-35.645,127.441,0.000
1680450271.711,-1000.000,-39.551,-33.691,-1000.000,0.000
1680450271.715,-966.309,-26.855,-31.738,-563.477,0.000
1680450271.719,262.695,-27.832,-30.273,774.902,0.000
1680450271.723,-786.133,-29.785,-27.832,-847.656,0.000
1680450271.726,436.035,-33.691,-21.973,213.379,0.000
1680450271.730,-861.328,-41.992,-23.926,-983.398,0.000
1680450271.734,-1000.000,-35.645,-28.809,-1000.000,0.000
