timestamps,TP9,AF7,AF8,TP10,Right AUX
1680451581.233,-44.922,-28.809,-38.086,-41.504,0.000
1680451581.237,-43.457,-24.414,-37.109,-30.762,0.000
1680451581.241,-38.086,-23.926,-44.922,-31.738,0.000
1680451581.245,-22.949,-26.367,-47.363,-22.949,0.000
1680451581.248,-27.832,-28.320,-36.133,-25.879,0.000
1680451581.252,-44.434,-26.367,-23.926,-34.180,0.000
1680451581.256,-33.691,-32.227,-21.973,-22.949,0.000
1680451581.260,-7.812,-39.062,-23.438,-3.418,0.000
1680451581.264,-22.461,-29.785,-33.691,-26.855,0.000
1680451581.268,-32.227,-23.438,-20.020,-48.340,0.000
1680451581.272,-34.180,-26.855,-18.066,-37.598,0.000
1680451581.276,-57.617,-27.832,-42.480,-43.945,0.000
1680451581.280,-56.641,-26.855,-37.109,-38.086,0.000
1680451581.284,-35.645,-25.879,-30.273,-22.949,0.000
1680451581.287,-38.086,-30.273,-38.574,-40.039,0.000
1680451581.291,-48.828,-28.320,-44.434,-57.617,0.000
1680451581.295,-55.176,-27.344,-36.621,-60.059,0.000
1680451581.299,-44.922,-26.367,-31.738,-47.363,0.000
1680451581.303,-37.598,-25.879,-29.297,-35.156,0.000
1680451581.307,-47.852,-32.227,-27.344,-38.086,0.000
1680451581.311,-48.340,-36.133,-23.926,-46.875,0.000
1680451581.315,-44.922,-33.203,-12.695,-52.734,0.000
1680451581.319,-45.410,-24.902,-29.297,-40.527,0.000
1680451581.323,-33.691,-25.879,-39.551,-22.461,0.000
1680451581.327,-32.227,-28.809,-33.203,-26.855,0.000
1680451581.330,-34.180,-28.320,-33.203,-31.250,0.000
1680451581.334,-26.855,-33.691,-35.645,-25.391,0.000
1680451581.338,-17.578,-32.715,-35.156,-20.508,0.000
1680451581.342,-16.602,-33.203,-31.250,-17.578,0.000
1680451581.346,-27.344,-41.504,-32.227,-21.484,0.000
1680451581.350,-26.855,-44.922,-33.691,-25.391,0.000
1680451581.354,-42.480,-41.016,-41.992,-46.387,0.000
1680451581.358,-45.898,-35.645,-32.227,-50.293,0.000
1680451581.362,-36.133,-33.203,-20.996,-35.645,0.000
1680451581.366,-55.664,-36.621,-34.180,-51.270,0.000
1680451581.369,-66.895,-43.945,-33.691,-66.406,0.000
1680451581.373,-59.570,-43.945,-34.180,-61.523,0.000
1680451581.377,-51.270,-37.109,-35.645,-62.988,0.000
1680451581.381,-45.410,-27.344,-40.527,-66.406,0.000
1680451581.385,-40.527,-23.926,-41.016,-69.824,0.000
1680451581.389,-41.016,-31.738,-36.133,-79.590,0.000
1680451581.393,-60.059,-37.598,-30.273,-79.590,0.000
1680451581.397,-58.594,-32.227,-27.832,-70.801,0.000
1680451581.401,-52.734,-29.785,-29.297,-60.059,0.000
1680451581.405,-49.316,-29.297,-29.785,-49.316,0.000
1680451581.409,-58.594,-22.949,-25.391,-50.781,0.000
1680451581.412,-74.219,-29.297,-25.391,-58.105,0.000
1680451581.416,-73.242,-31.738,-28.809,-52.246,0.000
1680451581.420,-62.012,-28.809,-28.320,-36.133,0.000
