poor_signal,raw,attention,meditation
25,26,0,0
0,24,0,0
0,92,0,0
0,-8,0,0
0,116,30,35
0,33,21,51
0,72,21,51
0,64,16,60
0,37,26,56
0,22,37,74
0,52,63,41
0,-35,91,21
0,64,96,11
0,74,90,14
0,41,66,44
0,67,47,48
0,1,35,70
0,7,35,70
0,73,34,61
0,82,34,44
0,4,29,66
0,75,16,63
0,26,17,64
0,29,26,74
0,-60,26,64
0,42,16,80
0,71,35,67
0,20,40,56
0,55,44,43
0,20,44,43
0,45,63,13
0,105,48,27
0,38,50,30
0,82,61,37
0,85,75,48
0,39,83,30
0,52,69,43
0,49,47,47
0,69,30,43
0,56,37,40
0,51,37,40
0,36,44,27
0,57,43,30
0,51,37,56
0,50,20,78
0,53,26,77
0,100,27,66
0,86,24,56
0,43,44,23
0,40,17,43
0,25,23,60
0,23,23,60
0,58,21,66
0,73,4,90
0,65,10,90
0,144,14,90
0,18,37,53
0,67,35,67
0,-22,37,66
0,41,35,66
0,24,16,100
0,121,16,90
0,55,21,93
0,74,21,93
0,75,20,90
0,82,26,83
